Sample.Name,ID,Continent,Country,Region,Strain,Collection,Latitude,Longitude,Year.of.Collection,Pot.Field,Host,Status_world,Status_ext_eur,Status_recent_ext_eur,fs_level1,fs_level2,fs_level3,fs_level4,fs_level5,fs_level6,fs_level7,fs_level8,anc1,anc2,anc3,anc4,anc5,anc6,anc7,Mating.type
94202,SRR7642213,Europe,Switzerland,Switzerland,tritici,Before 2022,47.52222222,8.82583333,1994,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe1,old_Europe1,0.885778,0.017369,1E-05,1E-05,0.096814,1E-05,1E-05,1_1_3
96224,SRR7642214,Europe,Switzerland,Switzerland,tritici,Before 2022,47.47444444,8.65583333,1996,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe1,old_Europe1,0.901208,0.098742,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
ARG_3_10,SRR11548219,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.435909,0.564041,1E-05,1E-05,1E-05,1_2_1
ARG_3_4,SRR11548218,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.423489,0.576461,1E-05,1E-05,1E-05,1_2_1
ARG_3_5,SRR11548202,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.436926,0.563024,1E-05,1E-05,1E-05,1_1_3
ARG_3_9,SRR11548191,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.423865,0.576085,1E-05,1E-05,1E-05,1_1_3
ARG_4_1,SRR11548180,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.415815,0.584135,1E-05,1E-05,1E-05,1_1_3
ARG_4_2,SRR11548169,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.425911,0.574039,1E-05,1E-05,1E-05,1_2_1
ARG_4_6,SRR11548158,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.442277,0.557673,1E-05,1E-05,1E-05,1_1_3
ARG_4_8,SRR11548147,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.44271,0.55724,1E-05,1E-05,1E-05,1_2_1
AUS_Australian_Isolate,SRR11548136,Oceania,Australia,Australia,tritici,Before 2022,-26,121,2015,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.99994,1E-05,1E-05,1E-05,1E-05,1_1_3
AUS_CUN3M,SRR11548125,Oceania,Australia,Australia,tritici,Before 2022,-31.66,117.24,2015,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.99994,1E-05,1E-05,1E-05,1E-05,1_1_3
AUS_FTA,SRR11548217,Oceania,Australia,Australia,tritici,Before 2022,-32.006111,115.893333,2015,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.99994,1E-05,1E-05,1E-05,1E-05,1_1_3
BAH-2,SRR2153095,Europe,Poland,Poland: Bakow,triticale,Before 2022,NA,NA,2009/2010,,,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_2_1
Bg_DAC,SRR4042118,Europe,Switzerland,Switzerland: Zurich,dactylidis,Before 2022,NA,NA,,,,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,
