Sample.Name,ID,Continent,Country,Region,Strain,Collection,Latitude,Longitude,Year.of.Collection,Pot.Field,Host,Status_world,Status_ext_eur,Status_recent_ext_eur,Mating.type,fs_level_1,fs_level_2,fs_level_3,fs_level_4,fs_level_5,fs_level_6,fs_level_7,fs_level_8,fs_level_9,fs_level_10,anc1,anc2,anc3,anc4,anc5,anc6,anc7,anc8,anc9
94202,SRR7642213,Europe,Switzerland,Switzerland,tritici,Before 2022,47.52222222,8.82583333,1994,,,Included,Included,Excluded,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.022307,1E-05,1E-05,1E-05,0.001259,0.889666,0.086717,1E-05,1E-05
96224,SRR7642214,Europe,Switzerland,Switzerland,tritici,Before 2022,47.47444444,8.65583333,1996,,,Included,Included,Excluded,1_2_1,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.0997,1E-05,1E-05,1E-05,1E-05,0.90023,1E-05,1E-05,1E-05
ARG_3_10,SRR11548219,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1.1E-05,1E-05,0.999919,1E-05
ARG_3_4,SRR11548218,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05
ARG_3_5,SRR11548202,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05
ARG_3_9,SRR11548191,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05
ARG_4_1,SRR11548180,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05
ARG_4_2,SRR11548169,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05
ARG_4_6,SRR11548158,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05
ARG_4_8,SRR11548147,South America,Argentina,Argentina,tritici,Before 2022,-32.717881,-62.081483,2016,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05
