"","ITBO062202","GRTH052302","ITSA052303","CZKA052301","ITMA052208","HUMV062350","HUSZ062201","ITSA052302","PLRA082254","GRTH052303","ITBA022201","ITMA052213","ITBA022222","ITMA052201","ITBO062201","ITBA022210","ITLE042301","ITBA022213","ITBA022218","ITBA062301","ESAN032208","PTOD042301","ESCT062211","ESCT052302","ESCT062217","ESCT062219","ESMD052202","ESCT052202","ESMD052201","ESCT062216","ESCT062224","ESCT062226","ESMA052301","ESCT062221","ESCT052307","ESCT052309","ESCT052207","ESMA052302","ESCT062210","ESSA052201","ESSA062301","ESSA052202","ESAN032210","ESAN032214","ESAN032203","ESAN032205","ESAN032212","ESAN032201","ESAN032215","ESAN032226","ESAN042318","ESAN042303","ESAN032216","ESAN032227","ESAN032222","ESAN032225","ESAN032219","ESAN042315","ESAN042310"
"ITBO062202",0,949.488970355703,192.507607793405,452.251871365991,155.746998724511,569.525779518225,548.117054300352,192.507607793405,679.677891448216,948.173800696463,446.556567490844,160.362606261296,446.556567490844,155.746998724511,0,446.556567490844,545.365946167743,446.556567490844,446.556567490844,446.599856690685,1456.97963594625,1659.4254070869,891.511424153268,891.511424153268,891.511424153268,891.511424153268,1250.1564376862,891.511424153268,1239.47569266713,891.511424153268,891.511424153268,891.511424153268,728.847150371033,891.511424153268,891.511424153268,891.511424153268,797.422858579922,728.847150371033,891.511424153268,1363.7622519703,1369.96191209768,1363.7622519703,1456.97963594625,1385.24589117673,1456.97963594625,1456.97963594625,1385.24589117673,1456.97963594625,1385.24589117673,1491.61287528411,1491.53221047679,1356.01438037752,1385.24589117673,1491.61287528411,1491.61287528411,1491.61287528411,1385.24589117673,1491.53221047679,1356.01438037752
"GRTH052302",949.488970355703,0,1186.02660650266,443.741414244938,798.552031709844,338.394474124314,359.443757313658,1186.02660650266,182.950370148099,1.37242777100736,514.950356193625,793.795006548224,514.950356193625,798.552031709844,949.488970355703,514.950356193625,421.341849638151,514.950356193625,514.950356193625,514.907124539398,2502.73418278436,2709.33887990304,1891.17280802526,1891.17280802526,1891.17280802526,1891.17280802526,2269.90388716178,1891.17280802526,2258.84901980684,1891.17280802526,1891.17280802526,1891.17280802526,1737.22827053045,1891.17280802526,1891.17280802526,1891.17280802526,1791.98765614644,1737.22827053045,1891.17280802526,2383.48197701293,2390.08911453596,2383.48197701293,2502.73418278436,2427.6825207052,2502.73418278436,2502.73418278436,2427.6825207052,2502.73418278436,2427.6825207052,2537.74781378278,2537.67171403761,2396.04481447904,2427.6825207052,2537.74781378278,2537.74781378278,2537.74781378278,2427.6825207052,2537.67171403761,2396.04481447904
"ITSA052303",192.507607793405,1186.02660650266,0,658.643628953871,356.7908338447,783.581840804364,761.051303847968,0,893.752109941372,1184.66024183806,662.350166904646,361.602756544544,662.350166904646,356.7908338447,192.507607793405,662.350166904646,766.319280008163,662.350166904646,662.350166904646,662.395422477786,1309.14225742367,1520.02452851298,731.238798548059,731.238798548059,731.238798548059,731.238798548059,1101.52295740376,731.238798548059,1090.42834168418,731.238798548059,731.238798548059,731.238798548059,557.91340462398,731.238798548059,731.238798548059,731.238798548059,633.910202137516,557.91340462398,731.238798548059,1221.0155691715,1227.38714247818,1221.0155691715,1309.14225742367,1235.13126392438,1309.14225742367,1309.14225742367,1235.13126392438,1309.14225742367,1235.13126392438,1345.33906525064,1345.25264177165,1205.35308284275,1235.13126392438,1345.33906525064,1345.33906525064,1345.33906525064,1235.13126392438,1345.25264177165,1205.35308284275
"CZKA052301",452.251871365991,443.741414244938,658.643628953871,0,308.366747926108,104.267881723841,84.3290244622699,658.643628953871,228.605924751331,442.470316380334,37.7611418521567,303.944682825583,37.7611418521567,308.366747926108,452.251871365991,37.7611418521567,53.108654385287,37.7611418521567,37.7611418521567,37.7202637114168,1885.21204564595,2078.70375087368,1320.43138031986,1320.43138031986,1320.43138031986,1320.43138031986,1671.23623428591,1320.43138031986,1660.9406560119,1320.43138031986,1320.43138031986,1320.43138031986,1173.43599923748,1320.43138031986,1320.43138031986,1320.43138031986,1228.67657378256,1173.43599923748,1320.43138031986,1777.6989294645,1783.81705777634,1777.6989294645,1885.21204564595,1815.20925896625,1885.21204564595,1885.21204564595,1815.20925896625,1885.21204564595,1815.20925896625,1918.06346780165,1917.99122885441,1785.8896303482,1815.20925896625,1918.06346780165,1918.06346780165,1918.06346780165,1815.20925896625,1917.99122885441,1785.8896303482
"ITMA052208",155.746998724511,798.552031709844,356.7908338447,308.366747926108,0,424.173001339822,402.711220462229,356.7908338447,543.072710043623,797.220174501656,291.023934388594,4.66442903620014,291.023934388594,0,155.746998724511,291.023934388594,389.389255239703,291.023934388594,291.023934388594,291.067427273802,1636.28433583292,1840.45743048877,1060.50063178328,1060.50063178328,1060.50063178328,1060.50063178328,1424.31479275977,1060.50063178328,1413.51628992816,1060.50063178328,1060.50063178328,1060.50063178328,898.368591670862,1060.50063178328,1060.50063178328,1060.50063178328,965.06978018945,898.368591670862,1060.50063178328,1538.55567170534,1544.8532378361,1538.55567170534,1636.28433583292,1563.65686472374,1636.28433583292,1636.28433583292,1563.65686472374,1636.28433583292,1563.65686472374,1671.16170696097,1671.08130479095,1533.89747450311,1563.65686472374,1671.16170696097,1671.16170696097,1671.16170696097,1563.65686472374,1671.08130479095,1533.89747450311
"HUMV062350",569.525779518225,338.394474124314,783.581840804364,104.267881723841,424.173001339822,0,20.1788380944064,783.581840804364,132.157824520345,337.099577634588,150.822576656517,419.673355953713,150.822576656517,424.173001339822,569.525779518225,150.822576656517,59.4503585625489,150.822576656517,150.822576656517,150.781174743028,2031.40860412807,2227.91226400781,1455.15109696883,1455.15109696883,1455.15109696883,1455.15109696883,1812.62321960395,1455.15109696883,1802.15029328692,1455.15109696883,1455.15109696883,1455.15109696883,1306.81142145145,1455.15109696883,1455.15109696883,1455.15109696883,1361.62964149159,1306.81142145145,1455.15109696883,1920.66388282805,1926.90015497252,1920.66388282805,2031.40860412807,1960.20416366805,2031.40860412807,2031.40860412807,1960.20416366805,2031.40860412807,1960.20416366805,2064.74927238167,2064.67628813694,1930.31155865838,1960.20416366805,2064.74927238167,2064.74927238167,2064.74927238167,1960.20416366805,2064.67628813694,1930.31155865838
"HUSZ062201",548.117054300352,359.443757313658,761.051303847968,84.3290244622699,402.711220462229,20.1788380944064,0,761.051303847968,151.190689304785,358.150735580872,129.29774500692,398.216767704999,129.29774500692,402.711220462229,548.117054300352,129.29774500692,37.8355011912854,129.29774500692,129.29774500692,129.256357713589,2007.17824463179,2203.50711319616,1432.20256256075,1432.20256256075,1432.20256256075,1432.20256256075,1789.06681626966,1432.20256256075,1778.60680578829,1432.20256256075,1432.20256256075,1432.20256256075,1283.72594101956,1432.20256256075,1432.20256256075,1432.20256256075,1338.83749966958,1283.72594101956,1432.20256256075,1897.06091318528,1903.28536063701,1897.06091318528,2007.17824463179,1936.07742120354,2007.17824463179,2007.17824463179,1936.07742120354,2007.17824463179,1936.07742120354,2040.49654719351,2040.42349192742,1906.25104007239,1936.07742120354,2040.49654719351,2040.49654719351,2040.49654719351,1936.07742120354,2040.42349192742,1906.25104007239
"ITSA052302",192.507607793405,1186.02660650266,0,658.643628953871,356.7908338447,783.581840804364,761.051303847968,0,893.752109941372,1184.66024183806,662.350166904646,361.602756544544,662.350166904646,356.7908338447,192.507607793405,662.350166904646,766.319280008163,662.350166904646,662.350166904646,662.395422477786,1309.14225742367,1520.02452851298,731.238798548059,731.238798548059,731.238798548059,731.238798548059,1101.52295740376,731.238798548059,1090.42834168418,731.238798548059,731.238798548059,731.238798548059,557.91340462398,731.238798548059,731.238798548059,731.238798548059,633.910202137516,557.91340462398,731.238798548059,1221.0155691715,1227.38714247818,1221.0155691715,1309.14225742367,1235.13126392438,1309.14225742367,1309.14225742367,1235.13126392438,1309.14225742367,1235.13126392438,1345.33906525064,1345.25264177165,1205.35308284275,1235.13126392438,1345.33906525064,1345.33906525064,1345.33906525064,1235.13126392438,1345.25264177165,1205.35308284275
"PLRA082254",679.677891448216,182.950370148099,893.752109941372,228.605924751331,543.072710043623,132.157824520345,151.190689304785,893.752109941372,0,181.70799619118,284.912957906905,538.77431496696,284.912957906905,543.072710043623,679.677891448216,284.912957906905,198.89321666862,284.912957906905,284.912957906905,284.873583932883,2095.47254143,2283.28079626528,1532.19904731961,1532.19904731961,1532.19904731961,1532.19904731961,1877.65305509235,1532.19904731961,1867.60613806142,1532.19904731961,1532.19904731961,1532.19904731961,1394.76622228844,1532.19904731961,1532.19904731961,1532.19904731961,1442.01484336393,1394.76622228844,1532.19904731961,1979.66984720766,1985.72754270025,1979.66984720766,2095.47254143,2026.62799250545,2095.47254143,2095.47254143,2026.62799250545,2095.47254143,2026.62799250545,2127.20342382306,2127.13633238542,1997.31007853287,2026.62799250545,2127.20342382306,2127.20342382306,2127.20342382306,2026.62799250545,2127.13633238542,1997.31007853287
"GRTH052303",948.173800696463,1.37242777100736,1184.66024183806,442.470316380334,797.220174501656,337.099577634588,358.150735580872,1184.66024183806,181.70799619118,0,513.590935929275,792.463058445873,513.590935929275,797.220174501656,948.173800696463,513.590935929275,419.96966685418,513.590935929275,513.590935929275,513.547701650197,2501.36515584835,2707.97599364777,1889.84123602384,1889.84123602384,1889.84123602384,1889.84123602384,2268.5640941434,1889.84123602384,2257.50912354714,1889.84123602384,1889.84123602384,1889.84123602384,1735.87268558834,1889.84123602384,1889.84123602384,1889.84123602384,1790.65779633294,1735.87268558834,1889.84123602384,2382.1498749664,2388.75676217453,2382.1498749664,2501.36515584835,2426.3143925687,2501.36515584835,2501.36515584835,2426.3143925687,2501.36515584835,2426.3143925687,2536.38037954709,2536.30426698877,2394.67877637791,2426.3143925687,2536.38037954709,2536.38037954709,2536.38037954709,2426.3143925687,2536.30426698877,2394.67877637791
