"","FRCL052301","CHVD042201","DELO042205","FRCO042202","CHST042201","DELO042201","FRMP052203","CHNY072301","CHZR042202","FRLO052302","CHZR042301","CZPR052201","DELO042204","CHTG062201","DELW052307","FRMP052202","FRLO052301","CHZR062208","CZPR052202","FRCO042201","FRMP052204","DEBE032202","FRBE052201","DELW052304","FRCO042203","DEDO072301","DEHO062208","DEDO072302","DEHO062314","DEGO062303","CZUH042205","FRMU052303","FRMP052201","CHZR042302","FRRI052204","DEBE052302","FRRN052302","PLSK082271","FRSA042204","PLSM082285","PLSM082286","PLNA082249","FRSB042201","SEAB072246","PLKO082242","PLCZ072215","PLBI082201","FRSG052302","PLCZ072206","PLBA092305","FRSA042203","LVAI062234","FRSD062203","PLNA082247","PLCZ072306","ITLI042201","FRSA042201","PLKO082237","PLSK092305","PLSK082276","LTKD062206","FRSD062201","DEBE032203","FRMP052206","UKCA092201","UKCA042316","UKCA042310","DEHO062215","DECO042201","UKCA092204","DEHO062211","UKCA092205","DEHI052201","DKES062203","NLTX072302","DECO042203","DEHO062232","FRRN052301","FRSD062202","DECO042204","FRSB042204","FRSD062204","UKCA042302","FRSB042203","FRMU052302","DEHO062233","FRNE052205","DECO042202","NLNI042202","DEHO062206","UKCA092202","IEME072202","FRNE052208","IELO072305","IELO072310","FRSA042202","NLNI042203","FRRI052203","FRCO042204","NLTX072301","FRNE052204","DEHO062320","IEKD072313","IEKD072305","DEHO062240","UKCA092203","DEHO062214","UKCA042327","FRSG052301","FRBE052202","FRBE052204","HUMV062227","ITCN052204","HUMV062231","CZKA042205","HUMV062206","HUMV062309","CZUH052302","ITBO052302","HUMV062213","HUMV062323","CZKA052302","CZUH042203","HUMV062226","CZPR052203","CZUH042204","HUMV062211","CZKA042201","LTKD062208","ROGT052209","ROLV052206","ROLV052202","ROGT052201","PLCZ072212","CZPR052204","CHZR052205","DEBE052301","CHZR022201","CZPR052205","CZUH042206","CZUH042202","CZUH052301","DEBD052307","CZKA042204","DEHA062201","DELW052301","SEUP072204","PLRA092322","LVAI062232","SEUP072201","PLKB092305","SEAB072243","PLSM082283","HUMV062215","PLSK082274","PLCZ072210","PLRA092321","PLSM092311","LVAI062205","LVAI062235","PLCZ072305","SEUP072203","ROLV052209","LVAI062204","DELO042203","PLBA092301","LTKD062218","ITCN042302","LTKD062215","LVAI062233","PLRA082257","LTKD062220","PLKO082243","PLSK092301","PLRA082270","PLRA092320"
"FRCL052301",0,291.775487515322,567.682569439052,300.642074226373,379.21962260831,567.682569439052,282.753242362309,286.058214666365,398.238180471742,311.913717132855,392.285360073825,695.579752430111,567.682569439052,414.530004112554,812.710664560691,282.753242362309,311.913717132855,391.639428744947,695.579752430111,300.642074226373,282.753242362309,968.16866654784,114.929630645769,812.698811181512,300.642074226373,848.473332541012,546.10174688095,848.473332541012,546.440613419899,856.565432132643,584.617301018687,467.997441882914,282.753242362309,392.524540361037,230.010708781629,968.16866654784,475.263881337934,678.96734158434,301.026349437516,875.404298994618,875.404298994618,944.478587426217,513.864002553233,1602.88865575222,909.852487269102,831.101793931039,1129.87388862069,325.160629192573,831.101793931039,674.834390729453,301.026349437516,1423.85492750601,425.633496939015,944.478587426217,831.281484932496,9.49671390500507,301.026349437516,909.852487269102,679.19303392695,678.96734158434,1285.85813171768,425.633496939015,968.16866654784,282.753242362309,935.894339089257,918.718948329885,935.787258374899,546.10174688095,792.865528090555,935.894339089257,546.10174688095,935.894339089257,899.185669151016,1300.10342496504,1036.90703802747,792.865528090555,543.737075570926,475.263881337934,425.633496939015,792.865528090555,513.864002553233,425.633496939015,935.787258374899,513.864002553233,467.997441882914,543.372800991239,591.809514524325,792.865528090555,891.293498037491,546.10174688095,935.894339089257,1078.37667150147,581.452511046704,1019.87430743756,1019.87430743756,301.026349437516,891.293498037491,230.010708781629,300.642074226373,1036.90703802747,591.809514524325,543.355454582683,1019.1937944865,1019.1937944865,543.372800991239,935.894339089257,546.10174688095,918.718948329885,325.160629192573,114.929630645769,114.929630645769,386.998498323025,60.7584646475598,389.383012367708,607.010791698172,389.518917030951,386.414724958141,583.94370439206,75.860514804717,387.813927414435,389.475674435929,607.558604623779,584.617301018687,387.09733838137,696.278167764365,584.617301018687,387.498875492925,607.010791698172,1285.85813171768,235.143911375248,237.416735675863,237.416735675863,235.143911375248,831.101793931039,686.616109227338,392.524540361037,968.16866654784,392.524540361037,686.616109227338,584.617301018687,584.617301018687,583.94370439206,960.113594866782,607.010791698172,1081.58340086394,812.701168513956,1768.44744920286,932.982578742296,1423.85492750601,1768.44744920286,794.40468492932,1602.88865575222,875.404298994618,388.369902047658,678.96734158434,831.101793931039,932.9825787326,876.189682104899,1423.85492750601,1423.85492750601,831.281484932496,1768.44744920286,237.416735675863,1423.85492750601,567.682569439052,674.834390729453,1285.85813171768,60.7584646475598,1285.85813171768,1423.85492750601,934.359849101563,1285.85813171768,909.852487269102,679.193033970472,934.359849101563,932.9825787326
"CHVD042201",291.775487515322,0,275.90708192373,8.86658671105094,87.4441350929873,275.90708192373,9.02224515301288,5.71727284895769,106.46269295642,20.138229617533,100.509872558503,403.804264914788,275.90708192373,122.754516597231,520.935177045369,9.02224515301288,20.138229617533,99.8639412296246,403.804264914788,8.86658671105094,9.02224515301288,676.393179032518,176.845856869553,520.923323666189,8.86658671105094,556.69784502569,254.326259365628,556.69784502569,254.665125904577,564.789944617321,292.841813503365,176.221954367592,9.02224515301288,100.749052845715,61.7647787336932,676.393179032518,183.488393822612,387.191854069017,9.25086192219366,583.628811479295,583.628811479295,652.703099910895,222.088515037911,1311.1131682369,618.076999753779,539.326306415717,838.098401105368,33.3851416772511,539.326306415717,383.05890321413,9.25086192219366,1132.07943999068,133.858009423692,652.703099910895,539.505997417174,282.278773610317,9.25086192219366,618.076999753779,387.417546411628,387.191854069017,994.082644202355,133.858009423692,676.393179032518,9.02224515301288,644.118851573935,626.943460814563,644.011770859576,254.326259365628,501.090040575232,644.118851573935,254.326259365628,644.118851573935,607.410181635694,1008.32793744972,745.131550512149,501.090040575232,251.961588055604,183.488393822612,133.858009423692,501.090040575232,222.088515037911,133.858009423692,644.011770859576,222.088515037911,176.221954367592,251.597313475917,300.034027009002,501.090040575232,599.518010522169,254.326259365628,644.118851573935,786.601183986151,289.677023531381,728.098819922238,728.098819922238,9.25086192219366,599.518010522169,61.7647787336932,8.86658671105094,745.131550512149,300.034027009002,251.57996706736,727.418306971173,727.418306971173,251.597313475917,644.118851573935,254.326259365628,626.943460814563,33.3851416772511,176.845856869553,176.845856869553,95.2230108077023,231.017022867763,97.6075248523857,315.23530418285,97.7434295156287,94.6392374428187,292.168216876737,215.914972710605,96.0384398991128,97.7001869206063,315.783117108457,292.841813503365,95.321850866048,404.502680249043,292.841813503365,95.7233879776028,315.23530418285,994.082644202355,56.6315761400741,54.3587518394593,54.3587518394593,56.6315761400741,539.326306415717,394.840621712015,100.749052845715,676.393179032518,100.749052845715,394.840621712015,292.841813503365,292.841813503365,292.168216876737,668.33810735146,315.23530418285,789.807913348617,520.925680998634,1476.67196168754,641.207091226974,1132.07943999068,1476.67196168754,502.629197413998,1311.1131682369,583.628811479295,96.5944145323359,387.191854069017,539.326306415717,641.207091217278,584.414194589577,1132.07943999068,1132.07943999068,539.505997417174,1476.67196168754,54.3587518394593,1132.07943999068,275.90708192373,383.05890321413,994.082644202355,231.017022867763,994.082644202355,1132.07943999068,642.58436158624,994.082644202355,618.076999753779,387.41754645515,642.58436158624,641.207091217278
"DELO042205",567.682569439052,275.90708192373,0,267.040495212679,188.462946830743,0,284.929327076743,281.624354772688,169.44438896731,255.768852306197,175.397209365227,127.897182991058,0,153.152565326499,245.028095121639,284.929327076743,255.768852306197,176.043140694105,127.897182991058,267.040495212679,284.929327076743,400.486097108788,452.752938793283,245.016241742459,267.040495212679,280.79076310196,21.5808225581023,280.79076310196,21.2419560191529,288.88286269359,16.9347315796348,99.6851275561383,284.929327076743,175.158029078015,337.671860657423,400.486097108788,92.4186881011183,111.284772145287,266.656220001536,307.721729555565,307.721729555565,376.796017987165,53.8185668858194,1035.20608631317,342.169917830049,263.419224491987,562.191319181638,242.521940246479,263.419224491987,107.1518212904,266.656220001536,856.172358066954,142.049072500038,376.796017987165,263.598915493444,558.185855534047,266.656220001536,342.169917830049,111.510464487898,111.284772145287,718.175562278625,142.049072500038,400.486097108788,284.929327076743,368.211769650205,351.036378890833,368.104688935846,21.5808225581023,225.182958651503,368.211769650205,21.5808225581023,368.211769650205,331.503099711964,732.420855525986,469.224468588419,225.182958651503,23.9454938681259,92.4186881011183,142.049072500038,225.182958651503,53.8185668858194,142.049072500038,368.104688935846,53.8185668858194,99.6851275561383,24.3097684478135,24.1269450852724,225.182958651503,323.610928598439,21.5808225581023,368.211769650205,510.694102062421,13.7699416076514,452.191737998508,452.191737998508,266.656220001536,323.610928598439,337.671860657423,267.040495212679,469.224468588419,24.1269450852724,24.3271148563697,451.511225047443,451.511225047443,24.3097684478135,368.211769650205,21.5808225581023,351.036378890833,242.521940246479,452.752938793283,452.752938793283,180.684071116028,506.924104791493,178.299557071344,39.3282222591197,178.163652408101,181.267844480911,16.2611349530073,491.822054634335,179.868642024617,178.206895003124,39.8760351847265,16.9347315796348,180.585231057682,128.595598325313,16.9347315796348,180.183693946127,39.3282222591197,718.175562278625,332.538658063804,330.265833763189,330.265833763189,332.538658063804,263.419224491987,118.933539788285,175.158029078015,400.486097108788,175.158029078015,118.933539788285,16.9347315796348,16.9347315796348,16.2611349530073,392.43102542773,39.3282222591197,513.900831424887,245.018599074904,1200.76487976381,365.300009303244,856.172358066954,1200.76487976381,226.722115490268,1035.20608631317,307.721729555565,179.312667391394,111.284772145287,263.419224491987,365.300009293548,308.507112665847,856.172358066954,856.172358066954,263.598915493444,1200.76487976381,330.265833763189,856.172358066954,0,107.1518212904,718.175562278625,506.924104791493,718.175562278625,856.172358066954,366.677279662511,718.175562278625,342.169917830049,111.51046453142,366.677279662511,365.300009293548
"FRCO042202",300.642074226373,8.86658671105094,267.040495212679,0,78.5775483819363,267.040495212679,17.8888318640638,14.5838595600086,97.5961062453687,11.271642906482,91.6432858474518,394.937678203737,267.040495212679,113.887929886181,512.068590334318,17.8888318640638,11.271642906482,90.9973545185737,394.937678203737,0,17.8888318640638,667.526592321467,185.712443580604,512.056736955138,0,547.831258314639,245.459672654577,547.831258314639,245.798539193526,555.92335790627,283.975226792314,167.355367656541,17.8888318640638,91.882466134664,70.6313654447442,667.526592321467,174.621807111561,378.325267357967,0.384275211142715,574.762224768244,574.762224768244,643.836513199844,213.22192832686,1302.24658152584,609.210413042728,530.459719704666,829.231814394317,24.5185549662001,530.459719704666,374.192316503079,0.384275211142715,1123.21285327963,124.991422712641,643.836513199844,530.639410706123,291.145360321368,0.384275211142715,609.210413042728,378.550959700577,378.325267357967,985.216057491304,124.991422712641,667.526592321467,17.8888318640638,635.252264862884,618.076874103512,635.145184148525,245.459672654577,492.223453864182,635.252264862884,245.459672654577,635.252264862884,598.543594924643,999.461350738664,736.264963801098,492.223453864182,243.095001344553,174.621807111561,124.991422712641,492.223453864182,213.22192832686,124.991422712641,635.145184148525,213.22192832686,167.355367656541,242.730726764866,291.167440297951,492.223453864182,590.651423811118,245.459672654577,635.252264862884,777.7345972751,280.81043682033,719.232233211187,719.232233211187,0.384275211142715,590.651423811118,70.6313654447442,0,736.264963801098,291.167440297951,242.713380356309,718.551720260122,718.551720260122,242.730726764866,635.252264862884,245.459672654577,618.076874103512,24.5185549662001,185.712443580604,185.712443580604,86.3564240966514,239.883609578814,88.7409381413347,306.368717471799,88.8768428045777,85.7726507317678,283.301630165686,224.781559421656,87.1718531880619,88.8336002095553,306.916530397406,283.975226792314,86.4552641549971,395.636093537992,283.975226792314,86.8568012665519,306.368717471799,985.216057491304,65.4981628511251,63.2253385505102,63.2253385505102,65.4981628511251,530.459719704666,385.974035000965,91.882466134664,667.526592321467,91.882466134664,385.974035000965,283.975226792314,283.975226792314,283.301630165686,659.471520640409,306.368717471799,780.941326637566,512.059094287583,1467.80537497649,632.340504515923,1123.21285327963,1467.80537497649,493.762610702947,1302.24658152584,574.762224768244,87.7278278212849,378.325267357967,530.459719704666,632.340504506227,575.547607878526,1123.21285327963,1123.21285327963,530.639410706123,1467.80537497649,63.2253385505102,1123.21285327963,267.040495212679,374.192316503079,985.216057491304,239.883609578814,985.216057491304,1123.21285327963,633.71777487519,985.216057491304,609.210413042728,378.550959744099,633.71777487519,632.340504506227
"CHST042201",379.21962260831,87.4441350929873,188.462946830743,78.5775483819363,0,188.462946830743,96.4663802460002,93.161407941945,19.0185578634324,67.3059054754543,13.0657374655155,316.360129821801,188.462946830743,35.3103815042442,433.491041952382,96.4663802460002,67.3059054754543,12.4198061366373,316.360129821801,78.5775483819363,96.4663802460002,588.949043939531,264.28999196254,433.479188573202,78.5775483819363,469.253709932703,166.88212427264,469.253709932703,167.22099081159,477.345809524333,205.397678410378,88.7778192746044,96.4663802460002,13.3049177527277,149.208913826681,588.949043939531,96.0442587296244,299.74771897603,78.1932731707936,496.184676386308,496.184676386308,565.258964817907,134.644379944923,1223.66903314391,530.632864660792,451.882171322729,750.654266012381,54.0589934157362,451.882171322729,295.614768121143,78.1932731707936,1044.6353048977,46.4138743307049,565.258964817907,452.061862324187,369.722908703305,78.1932731707936,530.632864660792,299.973411318641,299.74771897603,906.638509109368,46.4138743307049,588.949043939531,96.4663802460002,556.674716480948,539.499325721576,556.567635766589,166.88212427264,413.645905482245,556.674716480948,166.88212427264,556.674716480948,519.966046542706,920.883802356728,657.687415419162,413.645905482245,164.517452962617,96.0442587296244,46.4138743307049,413.645905482245,134.644379944923,46.4138743307049,556.567635766589,134.644379944923,88.7778192746044,164.153178382929,212.589891916015,413.645905482245,512.073875429182,166.88212427264,556.674716480948,699.157048893164,202.232888438394,640.654684829251,640.654684829251,78.1932731707936,512.073875429182,149.208913826681,78.5775483819363,657.687415419162,212.589891916015,164.135831974373,639.974171878186,639.974171878186,164.153178382929,556.674716480948,166.88212427264,539.499325721576,54.0589934157362,264.28999196254,264.28999196254,7.77887571471501,318.46115796075,10.1633897593984,227.791169089862,10.2992944226414,7.19510234983145,204.72408178375,303.359107803593,8.59430480612553,10.256051827619,228.338982015469,205.397678410378,7.87771577306075,317.058545156056,205.397678410378,8.27925288461554,227.791169089862,906.638509109368,144.075711233061,141.802886932447,141.802886932447,144.075711233061,451.882171322729,307.396486619028,13.3049177527277,588.949043939531,13.3049177527277,307.396486619028,205.397678410378,205.397678410378,204.72408178375,580.893972258473,227.791169089862,702.36377825563,433.481545905647,1389.22782659455,553.762956133986,1044.6353048977,1389.22782659455,415.185062321011,1223.66903314391,496.184676386308,9.1502794393486,299.74771897603,451.882171322729,553.76295612429,496.97005949659,1044.6353048977,1044.6353048977,452.061862324187,1389.22782659455,141.802886932447,1044.6353048977,188.462946830743,295.614768121143,906.638509109368,318.46115796075,906.638509109368,1044.6353048977,555.140226493253,906.638509109368,530.632864660792,299.973411362163,555.140226493253,553.76295612429
"DELO042201",567.682569439052,275.90708192373,0,267.040495212679,188.462946830743,0,284.929327076743,281.624354772688,169.44438896731,255.768852306197,175.397209365227,127.897182991058,0,153.152565326499,245.028095121639,284.929327076743,255.768852306197,176.043140694105,127.897182991058,267.040495212679,284.929327076743,400.486097108788,452.752938793283,245.016241742459,267.040495212679,280.79076310196,21.5808225581023,280.79076310196,21.2419560191529,288.88286269359,16.9347315796348,99.6851275561383,284.929327076743,175.158029078015,337.671860657423,400.486097108788,92.4186881011183,111.284772145287,266.656220001536,307.721729555565,307.721729555565,376.796017987165,53.8185668858194,1035.20608631317,342.169917830049,263.419224491987,562.191319181638,242.521940246479,263.419224491987,107.1518212904,266.656220001536,856.172358066954,142.049072500038,376.796017987165,263.598915493444,558.185855534047,266.656220001536,342.169917830049,111.510464487898,111.284772145287,718.175562278625,142.049072500038,400.486097108788,284.929327076743,368.211769650205,351.036378890833,368.104688935846,21.5808225581023,225.182958651503,368.211769650205,21.5808225581023,368.211769650205,331.503099711964,732.420855525986,469.224468588419,225.182958651503,23.9454938681259,92.4186881011183,142.049072500038,225.182958651503,53.8185668858194,142.049072500038,368.104688935846,53.8185668858194,99.6851275561383,24.3097684478135,24.1269450852724,225.182958651503,323.610928598439,21.5808225581023,368.211769650205,510.694102062421,13.7699416076514,452.191737998508,452.191737998508,266.656220001536,323.610928598439,337.671860657423,267.040495212679,469.224468588419,24.1269450852724,24.3271148563697,451.511225047443,451.511225047443,24.3097684478135,368.211769650205,21.5808225581023,351.036378890833,242.521940246479,452.752938793283,452.752938793283,180.684071116028,506.924104791493,178.299557071344,39.3282222591197,178.163652408101,181.267844480911,16.2611349530073,491.822054634335,179.868642024617,178.206895003124,39.8760351847265,16.9347315796348,180.585231057682,128.595598325313,16.9347315796348,180.183693946127,39.3282222591197,718.175562278625,332.538658063804,330.265833763189,330.265833763189,332.538658063804,263.419224491987,118.933539788285,175.158029078015,400.486097108788,175.158029078015,118.933539788285,16.9347315796348,16.9347315796348,16.2611349530073,392.43102542773,39.3282222591197,513.900831424887,245.018599074904,1200.76487976381,365.300009303244,856.172358066954,1200.76487976381,226.722115490268,1035.20608631317,307.721729555565,179.312667391394,111.284772145287,263.419224491987,365.300009293548,308.507112665847,856.172358066954,856.172358066954,263.598915493444,1200.76487976381,330.265833763189,856.172358066954,0,107.1518212904,718.175562278625,506.924104791493,718.175562278625,856.172358066954,366.677279662511,718.175562278625,342.169917830049,111.51046453142,366.677279662511,365.300009293548
"FRMP052203",282.753242362309,9.02224515301288,284.929327076743,17.8888318640638,96.4663802460002,284.929327076743,0,3.3049723040552,115.484938109433,29.1604747705459,109.532117711516,412.826510067801,284.929327076743,131.776761750244,529.957422198382,0,29.1604747705459,108.886186382638,412.826510067801,17.8888318640638,0,685.415424185531,167.82361171654,529.945568819202,17.8888318640638,565.720090178703,263.348504518641,565.720090178703,263.68737105759,573.812189770333,301.864058656378,185.244199520605,0,109.771297998728,52.7425335806804,685.415424185531,192.510638975625,396.21409922203,18.2731070752065,592.651056632308,592.651056632308,661.725345063908,231.110760190924,1320.13541338991,627.099244906792,548.348551568729,847.120646258381,42.407386830264,548.348551568729,392.081148367143,18.2731070752065,1141.1016851437,142.880254576705,661.725345063908,548.528242570187,273.256528457304,18.2731070752065,627.099244906792,396.439791564641,396.21409922203,1003.10488935537,142.880254576705,685.415424185531,0,653.141096726948,635.965705967576,653.034016012589,263.348504518641,510.112285728245,653.141096726948,263.348504518641,653.141096726948,616.432426788706,1017.35018260273,754.153795665162,510.112285728245,260.983833208617,192.510638975625,142.880254576705,510.112285728245,231.110760190924,142.880254576705,653.034016012589,231.110760190924,185.244199520605,260.619558628929,309.056272162015,510.112285728245,608.540255675182,263.348504518641,653.141096726948,795.623429139164,298.699268684394,737.121065075251,737.121065075251,18.2731070752065,608.540255675182,52.7425335806804,17.8888318640638,754.153795665162,309.056272162015,260.602212220373,736.440552124186,736.440552124186,260.619558628929,653.141096726948,263.348504518641,635.965705967576,42.407386830264,167.82361171654,167.82361171654,104.245255960715,221.99477771475,106.629770005399,324.257549335863,106.765674668642,103.661482595832,301.19046202975,206.892727557593,105.060685052126,106.722432073619,324.805362261469,301.864058656378,104.344096019061,413.524925402056,301.864058656378,104.745633130616,324.257549335863,1003.10488935537,47.6093309870612,45.3365066864464,45.3365066864464,47.6093309870612,548.348551568729,403.862866865028,109.771297998728,685.415424185531,109.771297998728,403.862866865028,301.864058656378,301.864058656378,301.19046202975,677.360352504473,324.257549335863,798.83015850163,529.947926151647,1485.69420684055,650.229336379987,1141.1016851437,1485.69420684055,511.651442567011,1320.13541338991,592.651056632308,105.616659685349,396.21409922203,548.348551568729,650.22933637029,593.43643974259,1141.1016851437,1141.1016851437,548.528242570187,1485.69420684055,45.3365066864464,1141.1016851437,284.929327076743,392.081148367143,1003.10488935537,221.99477771475,1003.10488935537,1141.1016851437,651.606606739253,1003.10488935537,627.099244906792,396.439791608163,651.606606739253,650.22933637029
"CHNY072301",286.058214666365,5.71727284895769,281.624354772688,14.5838595600086,93.161407941945,281.624354772688,3.3049723040552,0,112.179965805377,25.8555024664907,106.22714540746,409.521537763746,281.624354772688,128.471789446189,526.652449894327,3.3049723040552,25.8555024664907,105.581214078582,409.521537763746,14.5838595600086,3.3049723040552,682.110451881476,171.128584020595,526.640596515147,14.5838595600086,562.415117874648,260.043532214585,562.415117874648,260.382398753535,570.507217466278,298.559086352323,181.939227216549,3.3049723040552,106.466325694673,56.0475058847356,682.110451881476,189.205666671569,392.909126917975,14.9681347711513,589.346084328253,589.346084328253,658.420372759852,227.805787886868,1316.83044108585,623.794272602737,545.043579264674,843.815673954326,39.1024145262088,545.043579264674,388.776176063088,14.9681347711513,1137.79671283964,139.57528227265,658.420372759852,545.223270266132,276.56150076136,14.9681347711513,623.794272602737,393.134819260586,392.909126917975,999.799917051312,139.57528227265,682.110451881476,3.3049723040552,649.836124422893,632.660733663521,649.729043708534,260.043532214585,506.80731342419,649.836124422893,260.043532214585,649.836124422893,613.127454484651,1014.04521029867,750.848823361107,506.80731342419,257.678860904562,189.205666671569,139.57528227265,506.80731342419,227.805787886868,139.57528227265,649.729043708534,227.805787886868,181.939227216549,257.314586324874,305.75129985796,506.80731342419,605.235283371127,260.043532214585,649.836124422893,792.318456835109,295.394296380339,733.816092771196,733.816092771196,14.9681347711513,605.235283371127,56.0475058847356,14.5838595600086,750.848823361107,305.75129985796,257.297239916318,733.135579820131,733.135579820131,257.314586324874,649.836124422893,260.043532214585,632.660733663521,39.1024145262088,171.128584020595,171.128584020595,100.94028365666,225.299750018805,103.324797701343,320.952577031807,103.460702364586,100.356510291776,297.885489725695,210.197699861648,101.75571274807,103.417459769564,321.500389957414,298.559086352323,101.039123715006,410.219953098,298.559086352323,101.440660826561,320.952577031807,999.799917051312,50.9143032911164,48.6414789905016,48.6414789905016,50.9143032911164,545.043579264674,400.557894560973,106.466325694673,682.110451881476,106.466325694673,400.557894560973,298.559086352323,298.559086352323,297.885489725695,674.055380200418,320.952577031807,795.525186197574,526.642953847592,1482.3892345365,646.924364075931,1137.79671283964,1482.3892345365,508.346470262956,1316.83044108585,589.346084328253,102.311687381294,392.909126917975,545.043579264674,646.924364066235,590.131467438535,1137.79671283964,1137.79671283964,545.223270266132,1482.3892345365,48.6414789905016,1137.79671283964,281.624354772688,388.776176063088,999.799917051312,225.299750018805,999.799917051312,1137.79671283964,648.301634435198,999.799917051312,623.794272602737,393.134819304108,648.301634435198,646.924364066235
"CHZR042202",398.238180471742,106.46269295642,169.44438896731,97.5961062453687,19.0185578634324,169.44438896731,115.484938109433,112.179965805377,0,86.3244633388867,5.95282039791686,297.341571958369,169.44438896731,16.2918236408118,414.472484088949,115.484938109433,86.3244633388867,6.59875172679502,297.341571958369,97.5961062453687,115.484938109433,569.930486076099,283.308549825973,414.46063070977,97.5961062453687,450.23515206927,147.863566409208,450.23515206927,148.202432948158,458.327251660901,186.379120546945,69.7592614111721,115.484938109433,5.71364011070466,168.227471690113,569.930486076099,77.025700866192,280.729161112598,97.211831034226,477.166118522876,477.166118522876,546.240406954475,115.625822081491,1204.65047528048,511.61430679736,432.863613459297,731.635708148948,73.0775512791686,432.863613459297,276.596210257711,97.211831034226,1025.61674703426,27.3953164672725,546.240406954475,433.043304460754,388.741466566737,97.211831034226,511.61430679736,280.954853455208,280.729161112598,887.619951245935,27.3953164672725,569.930486076099,115.484938109433,537.656158617515,520.480767858143,537.549077903157,147.863566409208,394.627347618813,537.656158617515,147.863566409208,537.656158617515,500.947488679274,901.865244493296,638.668857555729,394.627347618813,145.498895099184,77.025700866192,27.3953164672725,394.627347618813,115.625822081491,27.3953164672725,537.549077903157,115.625822081491,69.7592614111721,145.134620519497,193.571334052583,394.627347618813,493.05531756575,147.863566409208,537.656158617515,680.138491029731,183.214330574962,621.636126965819,621.636126965819,97.211831034226,493.05531756575,168.227471690113,97.5961062453687,638.668857555729,193.571334052583,145.117274110941,620.955614014754,620.955614014754,145.134620519497,537.656158617515,147.863566409208,520.480767858143,73.0775512791686,283.308549825973,283.308549825973,11.2396821487173,337.479715824182,8.85516810403398,208.77261122643,8.71926344079098,11.8234555136009,185.705523920318,322.377665667025,10.4242530573068,8.76250603581338,209.320424152037,186.379120546945,11.1408420903716,298.039987292623,186.379120546945,10.7393049788168,208.77261122643,887.619951245935,163.094269096494,160.821444795879,160.821444795879,163.094269096494,432.863613459297,288.377928755596,5.71364011070466,569.930486076099,5.71364011070466,288.377928755596,186.379120546945,186.379120546945,185.705523920318,561.87541439504,208.77261122643,683.345220392197,414.462988042214,1370.20926873112,534.744398270554,1025.61674703426,1370.20926873112,396.166504457578,1204.65047528048,477.166118522876,9.86827842408375,280.729161112598,432.863613459297,534.744398260858,477.951501633157,1025.61674703426,1025.61674703426,433.043304460754,1370.20926873112,160.821444795879,1025.61674703426,169.44438896731,276.596210257711,887.619951245935,337.479715824182,887.619951245935,1025.61674703426,536.121668629821,887.619951245935,511.61430679736,280.95485349873,536.121668629821,534.744398260858
"FRLO052302",311.913717132855,20.138229617533,255.768852306197,11.271642906482,67.3059054754543,255.768852306197,29.1604747705459,25.8555024664907,86.3244633388867,0,80.3716429409698,383.666035297255,255.768852306197,102.616286979699,500.796947427836,29.1604747705459,0,79.7257116120916,383.666035297255,11.271642906482,29.1604747705459,656.254949414985,196.984086487086,500.785094048656,11.271642906482,536.559615408157,234.188029748095,536.559615408157,234.526896287044,544.651714999787,272.703583885832,156.083724750059,29.1604747705459,80.610823228182,81.9030083512262,656.254949414985,163.350164205079,367.053624451484,10.8873676953393,563.490581861762,563.490581861762,632.564870293362,201.950285420378,1290.97493861936,597.938770136246,519.188076798184,817.960171487835,13.2469120597181,519.188076798184,362.920673596598,10.8873676953393,1111.94121037315,113.719779806159,632.564870293362,519.367767799641,302.41700322785,10.8873676953393,597.938770136246,367.279316794095,367.053624451484,973.944414584822,113.719779806159,656.254949414985,29.1604747705459,623.980621956402,606.80523119703,623.873541242043,234.188029748095,480.9518109577,623.980621956402,234.188029748095,623.980621956402,587.271952018161,988.189707832183,724.993320894616,480.9518109577,231.823358438071,163.350164205079,113.719779806159,480.9518109577,201.950285420378,113.719779806159,623.873541242043,201.950285420378,156.083724750059,231.459083858384,279.895797391469,480.9518109577,579.379780904636,234.188029748095,623.980621956402,766.462954368618,269.538793913848,707.960590304705,707.960590304705,10.8873676953393,579.379780904636,81.9030083512262,11.271642906482,724.993320894616,279.895797391469,231.441737449827,707.28007735364,707.28007735364,231.459083858384,623.980621956402,234.188029748095,606.80523119703,13.2469120597181,196.984086487086,196.984086487086,75.0847811901693,251.155252485296,77.4692952348527,295.097074565317,77.6051998980957,74.5010078252858,272.029987259204,236.053202328138,75.9002102815798,77.5619573030733,295.644887490924,272.703583885832,75.1836212485151,384.36445063151,272.703583885832,75.5851583600699,295.097074565317,973.944414584822,76.7698057576071,74.4969814569922,74.4969814569922,76.7698057576071,519.188076798184,374.702392094482,80.610823228182,656.254949414985,80.610823228182,374.702392094482,272.703583885832,272.703583885832,272.029987259204,648.199877733927,295.097074565317,769.669683731084,500.787451381101,1456.53373207001,621.068861609441,1111.94121037315,1456.53373207001,482.490967796465,1290.97493861936,563.490581861762,76.4561849148029,367.053624451484,519.188076798184,621.068861599745,564.275964972044,1111.94121037315,1111.94121037315,519.367767799641,1456.53373207001,74.4969814569922,1111.94121037315,255.768852306197,362.920673596598,973.944414584822,251.155252485296,973.944414584822,1111.94121037315,622.446131968708,973.944414584822,597.938770136246,367.279316837617,622.446131968708,621.068861599745
