"","ITBO062202","GRTH052302","ITSA052303","CZKA052301","ITMA052208","HUMV062350","HUSZ062201","ITSA052302","PLRA082254","GRTH052303","ITBA022201","ITMA052213","ITBA022222","ITMA052201","ITBO062201","ITBA022210","ITLE042301","ITBA022213","ITBA022218","ITBA062301","ESAN032208","PTOD042301","ESCT062211","ESCT052302","ESCT062217","ESCT062219","ESMD052202","ESCT052202","ESMD052201","ESCT062216","ESCT062224","ESCT062226","ESMA052301","ESCT062221","ESCT052307","ESCT052309","ESCT052207","ESMA052302","ESCT062210","ESSA052201","ESSA062301","ESSA052202","ESAN032210","ESAN032214","ESAN032203","ESAN032205","ESAN032212","ESAN032201","ESAN032215","ESAN032226","ESAN042318","ESAN042303","ESAN032216","ESAN032227","ESAN032222","ESAN032225","ESAN032219","ESAN042315","ESAN042310"
"ITBO062202",0,446.644779082843,570.896992378493,526.739574455201,146.64664913201,307.399523352475,322.693014478988,570.896992378493,853.540818932985,446.8682808854,390.185555079069,146.81299674227,390.185555079069,146.64664913201,0,390.185555079069,512.089220329059,390.185555079069,390.185555079069,390.206558688763,800.701163255576,767.033834681757,318.157929395789,318.157929395789,318.157929395789,318.157929395789,461.152777016098,318.157929395789,460.51390990091,318.157929395789,318.157929395789,318.157929395789,542.828201599012,318.157929395789,318.157929395789,318.157929395789,285.085222363898,542.828201599012,318.157929395789,399.977154593687,403.542353090898,399.977154593687,800.701163255576,779.975664304665,800.701163255576,800.701163255576,779.975664304665,800.701163255576,779.975664304665,789.149245752841,789.272795547785,753.1962187298,779.975664304665,789.149245752841,789.149245752841,789.149245752841,779.975664304665,789.272795547785,753.1962187298
"GRTH052302",446.644779082843,0,124.25221329565,973.384353538045,299.998129950834,754.044302435318,769.337793561832,124.25221329565,1300.18559801583,0.223501802556188,56.4592240037741,299.831782340573,56.4592240037741,299.998129950834,446.644779082843,56.4592240037741,65.4444412462154,56.4592240037741,56.4592240037741,56.4382203940805,354.056384172732,320.389055598914,128.486849687054,128.486849687054,128.486849687054,128.486849687054,14.5079979332551,128.486849687054,13.8691308180665,128.486849687054,128.486849687054,128.486849687054,96.1834225161684,128.486849687054,128.486849687054,128.486849687054,161.559556718945,96.1834225161684,128.486849687054,46.667624489156,43.1024259919453,46.667624489156,354.056384172732,333.330885221821,354.056384172732,354.056384172732,333.330885221821,354.056384172732,333.330885221821,342.504466669998,342.628016464941,306.551439646957,333.330885221821,342.504466669998,342.504466669998,342.504466669998,333.330885221821,342.628016464941,306.551439646957
"ITSA052303",570.896992378493,124.25221329565,0,1097.63656683369,424.250343246484,878.296515730968,893.590006857482,0,1424.43781131148,124.028711493094,180.711437299424,424.083995636223,180.711437299424,424.250343246484,570.896992378493,180.711437299424,58.8077720494347,180.711437299424,180.711437299424,180.690433689731,229.804170877082,196.136842303263,252.739062982704,252.739062982704,252.739062982704,252.739062982704,109.744215362395,252.739062982704,110.383082477584,252.739062982704,252.739062982704,252.739062982704,28.0687907794816,252.739062982704,252.739062982704,252.739062982704,285.811770014595,28.0687907794816,252.739062982704,170.919837784806,167.354639287595,170.919837784806,229.804170877082,209.078671926171,229.804170877082,229.804170877082,209.078671926171,229.804170877082,209.078671926171,218.252253374348,218.375803169291,182.299226351307,209.078671926171,218.252253374348,218.252253374348,218.252253374348,209.078671926171,218.375803169291,182.299226351307
"CZKA052301",526.739574455201,973.384353538045,1097.63656683369,0,673.386223587211,219.340051102726,204.046559976213,1097.63656683369,326.801244477784,973.607855340601,916.92512953427,673.552571197472,916.92512953427,673.386223587211,526.739574455201,916.92512953427,1038.82879478426,916.92512953427,916.92512953427,916.946133143964,1327.44073771078,1293.77340913696,844.897503850991,844.897503850991,844.897503850991,844.897503850991,987.8923514713,844.897503850991,987.253484356111,844.897503850991,844.897503850991,844.897503850991,1069.56777605421,844.897503850991,844.897503850991,844.897503850991,811.8247968191,1069.56777605421,844.897503850991,926.716729048889,930.281927546099,926.716729048889,1327.44073771078,1306.71523875987,1327.44073771078,1327.44073771078,1306.71523875987,1327.44073771078,1306.71523875987,1315.88882020804,1316.01237000299,1279.935793185,1306.71523875987,1315.88882020804,1315.88882020804,1315.88882020804,1306.71523875987,1316.01237000299,1279.935793185
"ITMA052208",146.64664913201,299.998129950834,424.250343246484,673.386223587211,0,454.046172484485,469.339663610998,424.250343246484,1000.187468065,300.22163175339,243.53890594706,0.166347610260599,243.53890594706,0,146.64664913201,243.53890594706,365.442571197049,243.53890594706,243.53890594706,243.559909556753,654.054514123566,620.387185549747,171.51128026378,171.51128026378,171.51128026378,171.51128026378,314.506127884089,171.51128026378,313.8672607689,171.51128026378,171.51128026378,171.51128026378,396.181552467002,171.51128026378,171.51128026378,171.51128026378,138.438573231889,396.181552467002,171.51128026378,253.330505461678,256.895703958888,253.330505461678,654.054514123566,633.329015172655,654.054514123566,654.054514123566,633.329015172655,654.054514123566,633.329015172655,642.502596620831,642.626146415775,606.54956959779,633.329015172655,642.502596620831,642.502596620831,642.502596620831,633.329015172655,642.626146415775,606.54956959779
"HUMV062350",307.399523352475,754.044302435318,878.296515730968,219.340051102726,454.046172484485,0,15.2934911265136,878.296515730968,546.14129558051,754.267804237874,697.585078431544,454.212520094745,697.585078431544,454.046172484485,307.399523352475,697.585078431544,819.488743681534,697.585078431544,697.585078431544,697.606082041238,1108.10068660805,1074.43335803423,625.557452748264,625.557452748264,625.557452748264,625.557452748264,768.552300368573,625.557452748264,767.913433253385,625.557452748264,625.557452748264,625.557452748264,850.227724951487,625.557452748264,625.557452748264,625.557452748264,592.484745716373,850.227724951487,625.557452748264,707.376677946162,710.941876443373,707.376677946162,1108.10068660805,1087.37518765714,1108.10068660805,1108.10068660805,1087.37518765714,1108.10068660805,1087.37518765714,1096.54876910532,1096.67231890026,1060.59574208228,1087.37518765714,1096.54876910532,1096.54876910532,1096.54876910532,1087.37518765714,1096.67231890026,1060.59574208228
"HUSZ062201",322.693014478988,769.337793561832,893.590006857482,204.046559976213,469.339663610998,15.2934911265136,0,893.590006857482,530.847804453997,769.561295364388,712.878569558058,469.506011221259,712.878569558058,469.339663610998,322.693014478988,712.878569558058,834.782234808047,712.878569558058,712.878569558058,712.899573167751,1123.39417773456,1089.72684916075,640.850943874778,640.850943874778,640.850943874778,640.850943874778,783.845791495087,640.850943874778,783.206924379898,640.850943874778,640.850943874778,640.850943874778,865.521216078,640.850943874778,640.850943874778,640.850943874778,607.778236842887,865.521216078,640.850943874778,722.670169072676,726.235367569887,722.670169072676,1123.39417773456,1102.66867878365,1123.39417773456,1123.39417773456,1102.66867878365,1123.39417773456,1102.66867878365,1111.84226023183,1111.96581002677,1075.88923320879,1102.66867878365,1111.84226023183,1111.84226023183,1111.84226023183,1102.66867878365,1111.96581002677,1075.88923320879
"ITSA052302",570.896992378493,124.25221329565,0,1097.63656683369,424.250343246484,878.296515730968,893.590006857482,0,1424.43781131148,124.028711493094,180.711437299424,424.083995636223,180.711437299424,424.250343246484,570.896992378493,180.711437299424,58.8077720494347,180.711437299424,180.711437299424,180.690433689731,229.804170877082,196.136842303263,252.739062982704,252.739062982704,252.739062982704,252.739062982704,109.744215362395,252.739062982704,110.383082477584,252.739062982704,252.739062982704,252.739062982704,28.0687907794816,252.739062982704,252.739062982704,252.739062982704,285.811770014595,28.0687907794816,252.739062982704,170.919837784806,167.354639287595,170.919837784806,229.804170877082,209.078671926171,229.804170877082,229.804170877082,209.078671926171,229.804170877082,209.078671926171,218.252253374348,218.375803169291,182.299226351307,209.078671926171,218.252253374348,218.252253374348,218.252253374348,209.078671926171,218.375803169291,182.299226351307
"PLRA082254",853.540818932985,1300.18559801583,1424.43781131148,326.801244477784,1000.187468065,546.14129558051,530.847804453997,1424.43781131148,0,1300.40909981838,1243.72637401205,1000.35381567526,1243.72637401205,1000.187468065,853.540818932985,1243.72637401205,1365.63003926204,1243.72637401205,1243.72637401205,1243.74737762175,1654.24198218856,1620.57465361474,1171.69874832877,1171.69874832877,1171.69874832877,1171.69874832877,1314.69359594908,1171.69874832877,1314.0547288339,1171.69874832877,1171.69874832877,1171.69874832877,1396.369020532,1171.69874832877,1171.69874832877,1171.69874832877,1138.62604129688,1396.369020532,1171.69874832877,1253.51797352667,1257.08317202388,1253.51797352667,1654.24198218856,1633.51648323765,1654.24198218856,1654.24198218856,1633.51648323765,1654.24198218856,1633.51648323765,1642.69006468583,1642.81361448077,1606.73703766279,1633.51648323765,1642.69006468583,1642.69006468583,1642.69006468583,1633.51648323765,1642.81361448077,1606.73703766279
"GRTH052303",446.8682808854,0.223501802556188,124.028711493094,973.607855340601,300.22163175339,754.267804237874,769.561295364388,124.028711493094,1300.40909981838,0,56.6827258063303,300.055284143129,56.6827258063303,300.22163175339,446.8682808854,56.6827258063303,65.2209394436592,56.6827258063303,56.6827258063303,56.6617221966367,353.832882370176,320.165553796357,128.71035148961,128.71035148961,128.71035148961,128.71035148961,14.2844961306989,128.71035148961,13.6456290155103,128.71035148961,128.71035148961,128.71035148961,95.9599207136122,128.71035148961,128.71035148961,128.71035148961,161.783058521501,95.9599207136122,128.71035148961,46.8911262917122,43.3259277945015,46.8911262917122,353.832882370176,333.107383419265,353.832882370176,353.832882370176,333.107383419265,353.832882370176,333.107383419265,342.280964867441,342.404514662385,306.327937844401,333.107383419265,342.280964867441,342.280964867441,342.280964867441,333.107383419265,342.404514662385,306.327937844401
