sfs_class,observed,beta,km
1,0.430864732902894,0.433341074390402,0.374632119091412
2,0.137475506729626,0.149709746807393,0.166423417928453
3,0.0851502521602261,0.0854111853057355,0.101301833191479
4,0.0615624297324211,0.0583834652926135,0.0704843952719189
5,0.0451057627445312,0.043898734170463,0.0528753274822623
6,0.0366053933378305,0.0350340096998482,0.0416425247352664
7,0.0303134335549774,0.0291390591387058,0.0339362812737287
8,0.0270329414410074,0.0249963588895836,0.0283678176936301
9,0.022714496803829,0.0219758621604142,0.0241841496282619
10,0.0182033182358421,0.01972466334255,0.0209438480316481
11,0.0172255950660114,0.018036335960643,0.0183721637054051
12,0.015147682374482,0.0167918436085853,0.0162897808936167
13,0.0157218688766824,0.0159352463233146,0.0145750649440998
14,0.0165891715653207,0.0154757961589225,0.0131428228296364
15,0.0170971057788057,0.0155377563779843,0.011931750638063
16,0.0231903086955125,0.0166088623728415,0.010896702661118
