name,global_region
IEKD072305,Northern Europe
IEKD072313,Northern Europe
IELO072305,Northern Europe
IELO072310,Northern Europe
IEME072202,Northern Europe
UKCA042302,Northern Europe
UKCA042310,Northern Europe
UKCA042316,Northern Europe
UKCA042327,Northern Europe
UKCA092201,Northern Europe
UKCA092202,Northern Europe
UKCA092203,Northern Europe
UKCA092204,Northern Europe
UKCA092205,Northern Europe
NLNI042202,Northern Europe
NLNI042203,Northern Europe
NLTX072301,Northern Europe
NLTX072302,Northern Europe
FRBE052201,Northern Europe
FRBE052202,Northern Europe
FRBE052204,Northern Europe
FRCO042201,Northern Europe
FRCO042202,Northern Europe
FRCO042203,Northern Europe
FRCO042204,Northern Europe
FRLO052301,Northern Europe
FRLO052302,Northern Europe
FRMP052201,Northern Europe
FRMP052202,Northern Europe
FRMP052203,Northern Europe
FRMP052204,Northern Europe
FRMP052206,Northern Europe
FRMU052302,Northern Europe
FRMU052303,Northern Europe
FRNE052204,Northern Europe
FRNE052205,Northern Europe
FRNE052208,Northern Europe
FRRI052203,Northern Europe
FRRI052204,Northern Europe
FRRN052301,Northern Europe
FRRN052302,Northern Europe
FRSA042201,Northern Europe
FRSA042202,Northern Europe
FRSA042203,Northern Europe
FRSA042204,Northern Europe
FRSB042201,Northern Europe
FRSB042203,Northern Europe
FRSB042204,Northern Europe
FRSD062201,Northern Europe
FRSD062202,Northern Europe
FRSD062203,Northern Europe
FRSD062204,Northern Europe
FRSG052301,Northern Europe
FRSG052302,Northern Europe
CHNY072301,Northern Europe
CHST042201,Northern Europe
CHTG062201,Northern Europe
CHVD042201,Northern Europe
CHZR022201,Northern Europe
CHZR042202,Northern Europe
CHZR042301,Northern Europe
CHZR042302,Northern Europe
CHZR052205,Northern Europe
CHZR062208,Northern Europe
DEBD052307,Northern Europe
DEBD052318,Northern Europe
DEBE032202,Northern Europe
DEBE032203,Northern Europe
DEBE052301,Northern Europe
DEBE052302,Northern Europe
DECO042201,Northern Europe
DECO042202,Northern Europe
DECO042203,Northern Europe
DECO042204,Northern Europe
DEDO072301,Northern Europe
DEDO072302,Northern Europe
DEGO062303,Northern Europe
DEHA062201,Northern Europe
DEHI052201,Northern Europe
