"isolate","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","ID","Continent","Country","Region","Strain","Collection","Latitude","Longitude","Year.of.Collection","Pot.Field","Host","Status_world","Status_ext_eur","Status_recent_ext_eur","fs_level1","fs_level2","fs_level3","fs_level4","fs_level5","fs_level6","fs_level7","fs_level8","anc1","anc2","anc3","anc4","anc5","anc6","anc7","Mating.type"
"94202",-41.4133565611115,-2.73286142066587,-0.195876099698023,-13.7310785908354,0.733144069441844,-2.00268104104197,6.31112149663761,-14.3567652952102,10.4123719806324,17.7109945639712,"SRR7642213","Europe","Switzerland","Switzerland","tritici","Before 2022",47.52222222,8.82583333,"1994","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.885778,0.017369,1e-05,1e-05,0.096814,1e-05,1e-05,"1_1_3"
"96224",-41.624285397012,-0.488057657734622,0.76530706307304,-10.1627854158026,7.27344526949879,-6.79448778645827,2.24388817973324,-6.11178307930422,11.8669537091543,17.963175811768,"SRR7642214","Europe","Switzerland","Switzerland","tritici","Before 2022",47.47444444,8.65583333,"1996","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.901208,0.098742,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_07224",-53.2437276880452,-6.40736461820234,2.68224352752573,-9.76489579402246,-0.861446814142605,4.90473030259332,0.970436163492259,-3.11590139626372,-8.82405984882974,-11.1011392467845,"SRR11548211","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_07227",-56.857689872746,-5.25591533551169,-0.71887389666364,-11.2903841481329,-1.1363023821681,-1.69038974603842,-0.587750723360542,6.11727661149539,5.49816803606302,-1.11940674673968,"SRR11548210","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_07230",-52.3213491686709,-2.19486231831369,2.61446112506617,-2.08810057368349,-4.09135599706564,0.647401322969768,-2.50627553355858,-7.19625183976928,-7.95123294871981,-8.24621894951236,"SRR11548209","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_07234",-48.2896469591943,-1.14555726984201,-1.62930316579503,-3.92786657662725,-0.474120533158316,-0.429151489574301,-3.71025290273225,-10.6617691523073,0.281634426930795,-5.29890393622939,"SRR11548208","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.999934,1.6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_07298",-46.3463502467193,-5.190740217831,0.048672701933017,-8.45909176172358,-4.3050185095483,-4.20362768989273,2.4727323090991,8.18014940054193,2.87800416961875,-5.61925229307346,"SRR11548207","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.973214,0.026736,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_10001",-57.5882015234847,-5.06621891231112,1.62888140628249,-12.3243122702386,-4.77308501958511,-1.12034051150829,-1.0053568294158,-3.49980990928237,-2.55189192220052,-10.6111195487853,"SRR11548206","Europe","Switzerland","Switzerland","tritici","Before 2022",47.42886,8.515962,"2010","","","Included","Included","Excluded","N_Europe","N_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_7004",-47.9957329650033,-0.419920245868508,3.1822202574717,-6.1351301692722,-1.60038725898946,2.3185972235943,1.8256041981933,-0.0783454849336216,-6.12635763944701,-7.28177256406019,"SRR2153097","Europe","Switzerland","Switzerland","tritici","Before 2022",47.42886,8.515962,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_96229",-42.276482243321,2.85148598078759,-1.56885094984511,-12.2524173827429,5.07056571739919,-4.12383211824225,3.30600012526062,-9.92981780491086,15.5898237414691,25.2809747660233,"SRR11548205","Europe","Switzerland","Switzerland","tritici","Before 2022",47.53277778,8.85972222,"1996","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.896313,0.0244,1e-05,1e-05,0.062029,1e-05,0.017228,"1_2_1"
"CHE_96249",-34.650745087294,-6.10339465275185,0.0189412142721365,-4.17663115783648,2.1867411095944,-3.61041688835867,8.57584410370094,-2.32518554434638,5.66404361474601,20.0211935542844,"SRR11548204","Europe","Switzerland","Switzerland","tritici","Before 2022",46.54777778,6.41527778,"1996","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.862465,0.056716,1e-05,1e-05,0.080779,1e-05,1e-05,"1_2_1"
"CHE_97223",-40.255640011532,-1.63096800755841,0.244161005209549,-14.3822007288085,-5.92730696695639,-0.931935347063891,11.1878842587913,-6.44017392593619,9.52427294160083,21.6957707055898,"SRR11548203","Europe","Switzerland","Switzerland","tritici","Before 2022",47.06694444,7.24916667,"1997","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.914945,0.057211,1e-05,1e-05,0.005496,0.013867,0.00846,"1_1_3"
"CHE_97266",-13.5136059059244,4.41473578692113,2.96736538344512,4.88068701541702,-4.46521505585589,-0.68651109834889,13.9471519235158,-0.0650757697596644,10.3965522595389,25.316437167562,"SRR11548201","Europe","Switzerland","Switzerland","tritici","Before 2022",46.84166667,6.96638889,"1997","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.65537,0.171465,1e-05,1e-05,0.173124,1e-05,1e-05,"1_1_3"
"CHE_98013",-48.8428379141785,-5.86247622954256,0.321877371410135,-4.74002497447773,-0.578517788546733,1.62141756885673,0.752915172616771,-4.20678953712033,3.28496517783497,-7.88201617190774,"SRR11548200","Europe","Switzerland","Switzerland","tritici","Before 2022",46.383333,6.233333,"1998","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.974436,1e-05,0.025514,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_98230",-54.0510542184873,-5.19547901979201,-0.159164341806897,-8.66740285503765,5.94563987360361,2.92806564567939,5.32484507104151,0.94955978020585,11.4355096240339,13.4190067022378,"SRR11548199","Europe","Switzerland","Switzerland","tritici","Before 2022",47.216667,8.241944,"1998","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_98250",-54.4718535930661,-2.91830557088217,2.6147880838483,-6.25844137715177,7.69883940173517,7.01474503147923,8.48863441499207,-3.03012072926468,3.80329519278822,14.1489253158918,"SRR11548198","Europe","Switzerland","Switzerland","tritici","Before 2022",47.216667,8.241944,"1998","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
