"isolate","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","ID","Continent","Country","Region","Strain","Collection","Latitude","Longitude","Year.of.Collection","Pot.Field","Host","Status_world","Status_ext_eur","Status_recent_ext_eur","fs_level1","fs_level2","fs_level3","fs_level4","fs_level5","fs_level6","fs_level7","fs_level8","anc1","anc2","anc3","anc4","anc5","anc6","anc7","Mating.type"
"94202",-45.320455349884,2.99829558319411,-0.154749811340344,-14.419647817495,1.0641457633238,2.44931573812884,5.27379594947375,-18.1905068326045,9.8812201654641,-26.2132728489343,"SRR7642213","Europe","Switzerland","Switzerland","tritici","Before 2022",47.52222222,8.82583333,"1994","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.885778,0.017369,1e-05,1e-05,0.096814,1e-05,1e-05,"1_1_3"
"96224",-48.0492213226812,0.894306202152723,-1.0616751643776,-12.6787586591007,16.066262485364,6.09789448994666,-4.26986752131692,-7.23540704596555,16.4430866727813,-33.2340471393173,"SRR7642214","Europe","Switzerland","Switzerland","tritici","Before 2022",47.47444444,8.65583333,"1996","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.901208,0.098742,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_07224",-59.8572339812508,7.37612807537271,4.15774161026178,-9.73729100922745,-3.10007379695432,-7.28645479371546,1.93901247845028,-2.16659076583561,-10.3178459968766,11.1685843985651,"SRR11548211","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_07227",-63.2397362198101,6.41755744089699,-1.03350500425543,-13.2669529895678,-0.401162732146563,3.32704016110712,-0.607109606749365,8.14208663215789,7.55183772806724,-2.40817189207383,"SRR11548210","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_07230",-58.3512013403038,2.286433436234,4.03540600255276,-1.81041369393295,-3.88312737379362,0.169274883472687,-1.32263728605226,-10.6719989260557,-8.43369296396303,7.65104889341437,"SRR11548209","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_07234",-53.7456461767979,1.50278194809594,-2.11625745612597,-2.87707011996033,-1.20900659221164,1.04723182762837,-3.65643321024907,-11.9450789929532,3.71115423705319,5.18887773839281,"SRR11548208","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.999934,1.6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_07298",-52.2007550548375,6.63420217622635,0.546703466507958,-9.15025656740417,-3.14981990649492,5.44981203254738,3.40537770389062,11.4211816620579,1.32830892174553,6.13696992527712,"SRR11548207","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.973214,0.026736,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_10001",-64.1816842967373,5.27080507443019,2.37209925863876,-13.6142698249045,-4.98168760327309,1.14549756687369,0.594984825017679,-3.26502105904501,-2.7274209146781,12.1522113494518,"SRR11548206","Europe","Switzerland","Switzerland","tritici","Before 2022",47.42886,8.515962,"2010","","","Included","Included","Excluded","N_Europe","N_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_7004",-52.9455765495474,0.733270078676062,5.60820099892712,-5.80822310686596,-2.52622290257244,-2.11497457147842,3.89608613464726,-0.691021478505452,-8.07382980415968,5.46733151411739,"SRR2153097","Europe","Switzerland","Switzerland","tritici","Before 2022",47.42886,8.515962,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_96229",-46.4320113963834,-4.62569603278466,-3.04250793258226,-13.9479522379459,10.2593547017876,3.13540642469933,-0.942090735962349,-13.4825461405827,19.7923211052738,-40.6354485599962,"SRR11548205","Europe","Switzerland","Switzerland","tritici","Before 2022",47.53277778,8.85972222,"1996","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.896313,0.0244,1e-05,1e-05,0.062029,1e-05,0.017228,"1_2_1"
