"isolate","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","ID","Continent","Country","Region","Strain","Collection","Latitude","Longitude","Year.of.Collection","Pot.Field","Host","Status_world","Status_ext_eur","Status_recent_ext_eur","fs_level1","fs_level2","fs_level3","fs_level4","fs_level5","fs_level6","fs_level7","fs_level8","anc1","anc2","anc3","anc4","anc5","anc6","anc7","Mating.type"
"94202",-8.94742315293276,-47.3981953036607,31.1523699609174,3.54490521707709,1.76214448778446,10.6195675217947,14.1849866399837,-4.60110036706233,-11.5157497154985,2.91058234152878,"SRR7642213","Europe","Switzerland","Switzerland","tritici","Before 2022",47.52222222,8.82583333,"1994","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.885778,0.017369,1e-05,1e-05,0.096814,1e-05,1e-05,"1_1_3"
"96224",-7.22636441354086,-51.005175315351,31.6443407581163,1.19422845777088,1.90394695669935,5.99682213601149,7.4754079613915,-9.02511715146605,-8.22618156538171,1.88849917050003,"SRR7642214","Europe","Switzerland","Switzerland","tritici","Before 2022",47.47444444,8.65583333,"1996","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.901208,0.098742,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"ARG_3_10",-77.1407977583793,47.7038394425299,-34.2380720977138,-16.2204477957784,-13.416762386489,-177.479000152681,151.348175985539,17.2036882452585,9.60202658503487,0.133823211912976,"SRR11548219","South America","Argentina","Argentina","tritici","Before 2022",-32.717881,-62.081483,"2016","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.435909,0.564041,1e-05,1e-05,1e-05,"1_2_1"
"ARG_3_4",-74.8194207468583,46.1583544800277,-34.3007003371637,-12.756301322967,-11.9309433075222,-176.843470519942,151.228205642229,20.0478963702697,9.21326085895449,-1.96688457503174,"SRR11548218","South America","Argentina","Argentina","tritici","Before 2022",-32.717881,-62.081483,"2016","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.423489,0.576461,1e-05,1e-05,1e-05,"1_2_1"
"ARG_3_5",-80.536021304041,48.3100451995197,-32.5440152355645,-15.1138387759513,-12.9493255386343,-172.598675886364,149.96641862891,19.599235806848,9.21810892394022,-2.39522491995242,"SRR11548202","South America","Argentina","Argentina","tritici","Before 2022",-32.717881,-62.081483,"2016","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.436926,0.563024,1e-05,1e-05,1e-05,"1_1_3"
"ARG_3_9",-76.2298756759363,46.9751771606503,-35.6660581666223,-15.0506362668214,-12.0430934751823,-176.512828528075,152.2756948226,22.3027391457013,10.2649066574579,-1.48507370363842,"SRR11548191","South America","Argentina","Argentina","tritici","Before 2022",-32.717881,-62.081483,"2016","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.423865,0.576085,1e-05,1e-05,1e-05,"1_1_3"
"ARG_4_1",-70.1151872204756,43.3462079678504,-35.7492559704495,-15.8215100208885,-11.2233009757667,-160.517686518218,136.741637650519,22.5439098194483,10.3150560584176,-2.55475573712655,"SRR11548180","South America","Argentina","Argentina","tritici","Before 2022",-32.717881,-62.081483,"2016","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.415815,0.584135,1e-05,1e-05,1e-05,"1_1_3"
"ARG_4_2",-74.0922091275351,45.2939733172062,-35.9596291267799,-13.5008835676468,-11.0136506826357,-166.978269238644,141.44290596626,18.1744223350904,9.34361270454471,0.421301369335834,"SRR11548169","South America","Argentina","Argentina","tritici","Before 2022",-32.717881,-62.081483,"2016","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.425911,0.574039,1e-05,1e-05,1e-05,"1_2_1"
"ARG_4_6",-79.4727338512266,46.5007009379053,-31.4169156055207,-12.8794047196108,-10.3399923332799,-158.924823175721,137.869751085966,17.324342469302,6.36580775916133,-0.579754687501687,"SRR11548158","South America","Argentina","Argentina","tritici","Before 2022",-32.717881,-62.081483,"2016","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.442277,0.557673,1e-05,1e-05,1e-05,"1_1_3"
"ARG_4_8",-79.4463727377606,46.0823020307309,-33.1205386601069,-15.148803856944,-10.4424245215873,-164.601758733933,145.690656787499,21.660658953891,9.53988181923045,-0.912287267089154,"SRR11548147","South America","Argentina","Argentina","tritici","Before 2022",-32.717881,-62.081483,"2016","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.44271,0.55724,1e-05,1e-05,1e-05,"1_2_1"
"AUS_Australian_Isolate",-199.728694501472,77.6338629040551,-11.4037899620767,-0.491224477639511,0.530668347958557,-7.05720190650819,3.2314374778052,-9.18623306629906,-8.80008186066421,-2.69333792056474,"SRR11548136","Oceania","Australia","Australia","tritici","Before 2022",-26,121,"2015","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.99994,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"AUS_CUN3M",-201.652811107009,78.0115388153555,-13.112487494427,-0.212947821063467,0.86093751764868,-3.44871654181451,2.42977891949735,-6.86642846705806,-8.21235356986609,-2.72577700510789,"SRR11548125","Oceania","Australia","Australia","tritici","Before 2022",-31.66,117.24,"2015","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.99994,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"AUS_FTA",-198.978486937558,77.3960821436654,-12.085860584442,0.114816721473018,0.679714575120431,-4.13243648359362,1.54984498035493,-8.93013277282712,-7.47146326030038,-3.57723646099888,"SRR11548217","Oceania","Australia","Australia","tritici","Before 2022",-32.006111,115.893333,"2015","","","Included","Excluded","Excluded","","","","","","","","",1e-05,1e-05,0.99994,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_07224",-11.9780633795292,-62.4477810154283,36.0806638893396,7.09076597380546,-4.11649956405258,4.67108223418604,5.41590356750245,-3.55522457696462,9.95846852144742,-1.91532263211236,"SRR11548211","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_07227",-19.1266959011923,-57.6278588364654,40.5862850651948,6.3108345373266,1.34801954426133,7.62575906025082,3.54860117171122,-9.28598289114156,8.32640230452933,6.73088271586421,"SRR11548210","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_07230",-12.9125669067862,-59.1578951194158,35.4662433519183,2.06737589715896,-4.47123040126885,1.4998762290549,-5.54647707095802,-6.24279751184695,3.43430728281485,1.96320731585139,"SRR11548209","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_07234",-8.90522147725198,-59.7426397249588,31.9470935186619,1.40965658040695,2.11915106071607,4.82613014760207,-1.5909839034184,-0.377428089927772,2.91683357554045,0.998288682442379,"SRR11548208","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.999934,1.6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_07298",-8.08484381782456,-56.6964918709004,32.3597095175202,6.75689427711078,-0.532073791507498,2.89513069231797,3.33973985841677,-7.26197255960299,1.34496174257926,8.12722552847324,"SRR11548207","Europe","Switzerland","Switzerland","tritici","Before 2022",NA,NA,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.973214,0.026736,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_10001",-11.4888167482814,-65.2508052191259,39.893306411473,5.16201185741416,-2.22826362878277,5.82350079873064,4.57531826835491,-8.84788730618446,20.416409739698,7.29250721273629,"SRR11548206","Europe","Switzerland","Switzerland","tritici","Before 2022",47.42886,8.515962,"2010","","","Included","Included","Excluded","N_Europe","N_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe","NW_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_7004",-9.74597841463143,-53.4258846017446,34.8736112879503,1.00587689783235,-5.20077376731358,2.47767245597195,4.29842232648922,-5.22263396701382,2.92700300583926,0.637081500480327,"SRR2153097","Europe","Switzerland","Switzerland","tritici","Before 2022",47.42886,8.515962,"2007","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_96229",-7.9203220413021,-49.1053015375667,31.7528452080605,-3.96437410313823,4.3148872134955,9.44184433383233,11.8925525387976,0.0287493515547646,-14.3958679912622,2.55503205579403,"SRR11548205","Europe","Switzerland","Switzerland","tritici","Before 2022",47.53277778,8.85972222,"1996","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.896313,0.0244,1e-05,1e-05,0.062029,1e-05,0.017228,"1_2_1"
"CHE_96249",-9.32017763264897,-44.4501562429791,22.9347144744393,6.92301971756461,0.908152062563096,0.956397562331842,7.22972724453868,-8.60397498939491,-0.665960332911876,1.11854503816533,"SRR11548204","Europe","Switzerland","Switzerland","tritici","Before 2022",46.54777778,6.41527778,"1996","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.862465,0.056716,1e-05,1e-05,0.080779,1e-05,1e-05,"1_2_1"
"CHE_97223",-9.69029125527661,-49.2396308778368,28.2127281720627,2.54006992800906,1.18116688371344,8.9477134857301,13.2347742150449,-9.79289647851664,1.56811909897685,6.60071049663901,"SRR11548203","Europe","Switzerland","Switzerland","tritici","Before 2022",47.06694444,7.24916667,"1997","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.914945,0.057211,1e-05,1e-05,0.005496,0.013867,0.00846,"1_1_3"
