"","strain","country","latitude","longitude","host","pot.field","fs_level_4","anc1","anc2","anc5","anc6","anc7","wind_coord1","wind_coord2","wind_coord3","bio2","bio3","bio4","bio7","bio8","bio16","bio19","hurs_range","rsds_range","vpd_range","clt_mean","clt_range"
"CZUH052302","tritici","Czech Republic",49.0775319,17.4611247,"6n","Field","N_EUR",0.037484,1e-05,1e-05,0.734071,0.228385,-0.612554333670091,-0.104038879910575,-0.104869766015323,-0.29358391480367,-0.774852075773055,0.943991126335732,0.607853210810063,0.874467169374478,-0.203640731092692,-0.774207840408944,0.0452278863500278,-0.657492384728982,-0.27603098365376,0.641166550154339,-0.211806138957959
"DEBD052307","tritici","Germany",52.460509,13.297172,"6n","Field","N_EUR",1e-05,0.009071,0.003951,0.986918,1e-05,-0.879199605127373,-0.515733548967994,-0.799754369022025,-0.801603729761744,-0.790611183055122,0.0789729754455923,-0.455151345776667,0.874467169374478,-0.396936740658929,-0.270921615020462,0.886924016009267,-0.825346506636512,-0.531054102401809,1.03304556424124,-0.173828075101458
"DEBD052318","tritici","Germany",52.460509,13.297172,"6n","Field","S_EUR1",0.351891,1e-05,0.00531,0.642739,1e-05,-0.879199605127373,-0.515733548967994,-0.799754369022025,-0.801603729761744,-0.790611183055122,0.0789729754455923,-0.455151345776667,0.874467169374478,-0.396936740658929,-0.270921615020462,0.886924016009267,-0.825346506636512,-0.531054102401809,1.03304556424124,-0.173828075101458
"DEHO062206","tritici","Germany",48.737211,9.20339,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,0.0288631470658971,-0.190204613702711,-0.358514567905147,0.434844330126107,0.563100106853384,-0.056216940886844,-0.482717714690715,-0.929932536440432,-0.73598339425292,0.884096074724045,-0.711597459309514
"DEHO062208","tritici","Germany",48.737211,9.20339,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,0.0288631470658971,-0.190204613702711,-0.358514567905147,0.434844330126107,0.563100106853384,-0.056216940886844,-0.482717714690715,-0.929932536440432,-0.73598339425292,0.884096074724045,-0.711597459309514
"DEHO062211","tritici","Germany",48.737211,9.20339,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,0.0288631470658971,-0.190204613702711,-0.358514567905147,0.434844330126107,0.563100106853384,-0.056216940886844,-0.482717714690715,-0.929932536440432,-0.73598339425292,0.884096074724045,-0.711597459309514
"DEHO062214","tritici","Germany",48.737211,9.20339,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,0.0288631470658971,-0.190204613702711,-0.358514567905147,0.434844330126107,0.563100106853384,-0.056216940886844,-0.482717714690715,-0.929932536440432,-0.73598339425292,0.884096074724045,-0.711597459309514
"DEHO062215","tritici","Germany",48.737211,9.20339,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,0.0288631470658971,-0.190204613702711,-0.358514567905147,0.434844330126107,0.563100106853384,-0.056216940886844,-0.482717714690715,-0.929932536440432,-0.73598339425292,0.884096074724045,-0.711597459309514
"DEHO062232","tritici","Germany",48.715945,9.189,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,-0.00265506749823823,-0.141843894296406,-0.310196178969386,0.474810042785047,0.545918239336385,-0.110470272522758,-0.45556622663719,-0.920894237568489,-0.716502461570777,0.819373975112408,-0.792110954685297
"DEHO062233","tritici","Germany",48.712669,9.196224,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,-0.0184141747803059,-0.141843894296406,-0.310196178969386,0.474810042785047,0.556656906534509,-0.102389989087622,-0.45556622663719,-0.922185423121623,-0.715743464193551,0.819373975112408,-0.792110954685297
"DEHO062240","tritici","Germany",48.712669,9.196224,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,-0.0184141747803059,-0.141843894296406,-0.310196178969386,0.474810042785047,0.556656906534509,-0.102389989087622,-0.45556622663719,-0.922185423121623,-0.715743464193551,0.819373975112408,-0.792110954685297
"DEHO062314","tritici","Germany",48.7402585,9.2026698,"6n","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,0.0288631470658971,-0.190204613702711,-0.358514567905147,0.434844330126107,0.563100106853384,-0.056216940886844,-0.482717714690715,-0.929932536440432,-0.73598339425292,0.884096074724045,-0.711597459309514
"DEHO062320","tritici","Germany",48.712513,9.1941663,"6n","Field","N_EUR",1.2e-05,1e-05,1e-05,0.999918,1e-05,-0.56709619638693,-0.266619307497073,-0.243909299276427,-0.208913945643991,-0.0184141747803059,-0.141843894296406,-0.310196178969386,0.474810042785047,0.556656906534509,-0.102389989087622,-0.45556622663719,-0.922185423121623,-0.715743464193551,0.819373975112408,-0.792110954685297
"ESAN032201","tritici","Spain",37.35194444,-5.938055556,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
"ESAN032203","tritici","Spain",37.35194444,-5.938055556,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
"ESAN032205","tritici","Spain",37.35194444,-5.938055556,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
"ESAN032208","tritici","Spain",37.35194444,-5.938055556,"6n","Field","S_EUR2",0.79701,1e-05,1e-05,0.20292,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
"ESAN032210","tritici","Spain",37.35194444,-5.938055556,"6n","Field","S_EUR2",0.999917,1e-05,1e-05,1.2e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.01880060717136,1.05320624758055,-0.684761404612475,0.414579655067021,0.354912904808225,0.575986507491133,0.766817643292026,0.211153646677118,1.72022581136881,1.03273349381019,-0.965360086781093,0.610039162896727
"ESAN032212","tritici","Spain",37.53833333,-5.107222222,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
"ESAN032214","tritici","Spain",37.53833333,-5.107222222,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
