"","strain","country","latitude","longitude","host","pot.field","fs_level_4","anc1","anc2","anc5","anc6","anc7","wind_coord1","wind_coord2","wind_coord3","bio2","bio3","bio4","bio7","bio8","bio16","bio19","hurs_range","rsds_range","vpd_range","clt_mean","clt_range"
"CHNY072301","tritici","Switzerland",46.39858333,6.23344444,"","Field","N_EUR",0.007263,1e-05,1e-05,0.992667,1e-05,-0.420510790208221,-0.349401540653834,0.237350417323002,-0.674598776022225,-0.491187768969085,-0.248602463551834,-0.600106512583949,-1.22373274522003,1.26326120817109,1.53559889583498,-0.992562323695774,-0.65555560639928,-0.514862158354314,0.323762280826036,-1.22202263754089
"CHST042201","tritici","Switzerland",47.236404,8.734663,"6n","Pot","N_EUR",0.016728,1e-05,1e-05,0.983202,1e-05,-0.458006303127654,-0.290841549231642,0.146388462658237,-0.25124893022383,-0.144487033036845,-0.0131861313475558,-0.237718595565745,1.01434716368079,2.65391861032819,1.1269674192581,-0.971444499654144,-1.18365049763143,-0.684371572601529,0.363659465518141,-1.72181395789245
"CHTG062201","tritici","Switzerland",47.55395789,9.226681129,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.496099626110851,-0.233315219696009,0.0615039417966958,-0.843938714341584,-0.900924934029594,0.18208167908545,-0.310196178969386,0.994364307351311,1.71535909721212,0.570582188438719,-0.440482066607455,-1.22303165700204,-0.663119646039191,0.65801202813545,-1.30557437802519
"CHVD042201","tritici","Switzerland",46.45,6.25,"","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.420510790208221,-0.349401540653834,0.237350417323002,-0.970943668081102,-0.633020110234447,-0.500443191026179,-0.962494429602153,-1.42356130851475,1.70032496313475,1.98924909440763,-0.730097939178376,-0.749812151778123,-0.763813298084552,0.563145388978666,-0.653870802247632
"CHZR022201","tritici","Switzerland",47.356058,8.59774,"6n","Pot","N_EUR",0.055052,1e-05,1e-05,0.926534,0.014714,-0.495146029879858,-0.292162003139054,0.0236438628952248,-0.29358391480367,0.0288631470658971,-0.301525514977603,-0.479310540244548,0.77455288772712,2.2232980556834,1.02307806080634,-0.754232595225953,-1.1048881788902,-0.80429315820329,0.802528497131297,-1.29645964269963
"CHZR042202","tritici","Switzerland",47.407442,8.559812,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.495146029879858,-0.292162003139054,0.0236438628952248,-0.25124893022383,-0.0656914966265079,-0.16830542000929,-0.334355373437266,0.934415738362894,1.47910841885339,0.697558070990859,-0.624508818970228,-0.74077385290618,-0.683612575224303,0.485124227802994,-1.52128978073012
"CHZR042301","tritici","Switzerland",47.353907,8.625124,"","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.495146029879858,-0.292162003139054,0.0236438628952255,-0.25124893022383,0.0446222543479638,-0.322512242267131,-0.479310540244548,0.694621462409239,2.81392475158024,1.39015379400253,-0.874905875463837,-0.930578129217001,-0.882722887183345,0.650919195301298,-1.427104182366
"CHZR042302","tritici","Switzerland",47.356058,8.59774,"6n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.495146029879858,-0.292162003139053,0.0236438628952248,-0.29358391480367,0.0288631470658971,-0.301525514977603,-0.479310540244548,0.77455288772712,2.2232980556834,1.02307806080634,-0.754232595225953,-1.1048881788902,-0.80429315820329,0.802528497131297,-1.29645964269963
"CHZR052205","tritici","Switzerland",47.356058,8.59774,"6n","Pot","N_EUR",1e-05,1e-05,1e-05,0.994135,1e-05,-0.495146029879858,-0.292162003139054,0.0236438628952248,-0.29358391480367,0.0288631470658971,-0.301525514977603,-0.479310540244548,0.77455288772712,2.2232980556834,1.02307806080634,-0.754232595225953,-1.1048881788902,-0.80429315820329,0.802528497131297,-1.29645964269963
"CHZR062208","tritici","Switzerland",47.348098,8.624128,"","Field","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.495146029879858,-0.292162003139053,0.0236438628952248,-0.29358391480367,0.0603813616300315,-0.330724439902164,-0.503469734712428,0.674638606079763,2.78707808358493,1.35552400785195,-0.911107859535202,-1.07906446782751,-0.885505877566508,0.902714760913695,-1.27519192693999
"CZKA042201","tritici","Czech Republic",49.2849792,17.3643381,"6n","Pot","N_EUR",0.014149,0.001559,0.011218,0.784632,0.188397,-0.645345245297453,-0.160117648117906,-0.253130323333375,-0.29358391480367,-0.711815646644784,0.838145023484196,0.462898044002781,0.77455288772712,0.0991896838944141,-0.767281883178827,-0.0784622258938032,-0.78080060505336,-0.372170651435763,0.69347619230621,-0.126735275919396
"CZKA042204","tritici","Czech Republic",49.2849792,17.3643381,"6n","Pot","N_EUR",1e-05,1e-05,0.011617,0.889759,0.098564,-0.645345245297453,-0.160117648117906,-0.253130323333375,-0.29358391480367,-0.711815646644784,0.838145023484196,0.462898044002781,0.77455288772712,0.0991896838944141,-0.767281883178827,-0.0784622258938032,-0.78080060505336,-0.372170651435763,0.69347619230621,-0.126735275919396
