"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"94202",-612.862765382765,-75.9811624276433,16.4150733235948,-62.9720297611573,8.55916763025188,-2.78493439800909,-36.5757761496327,-13.7308069905412,-31.2989943934123,12.9477241227449
"96224",-611.879379563458,-96.1609947677929,10.6894531701342,-41.458193417948,25.2773114514435,-28.2720080586157,-28.2841133142438,12.0295850622269,-12.9563941550231,-25.1746503574483
"CHE_10001",-611.879379563465,-96.1609947677785,10.6894531701225,-41.4581934179209,25.2773114514562,-28.2720080586154,-28.2841133142228,12.0295850622179,-12.9563941550113,-25.174650357547
"CHE_7004",-611.879379563465,-96.1609947677821,10.6894531701186,-41.4581934179229,25.277311451459,-28.272008058616,-28.2841133142214,12.0295850622298,-12.9563941550136,-25.1746503575608
"CHE_96229",-612.862765382764,-75.9811624276438,16.4150733235947,-62.9720297611573,8.55916763025098,-2.78493439801434,-36.5757761496348,-13.7308069905541,-31.2989943934174,12.9477241227536
"CHE_96249",-534.912594327064,-115.789667784267,43.0085235594284,-27.8107295047789,34.4694523712356,-30.3355453065993,-53.5246162378549,25.0039365135615,-35.9377146566542,37.9676589623671
"CHE_97223",-573.579437267416,-95.708182618921,29.2522500402036,-46.2535358171413,20.9635362178299,-21.4305249724373,-45.6290415030214,7.4513678980435,-32.0799446762435,23.0547747686682
"CHE_97266",-573.579437267416,-95.708182618921,29.2522500402039,-46.2535358171419,20.9635362178297,-21.4305249724404,-45.6290415030206,7.45136789804525,-32.0799446762406,23.054774768663
"CHE_98013",-534.912594327064,-115.789667784267,43.0085235594269,-27.810729504779,34.4694523712336,-30.3355453065981,-53.5246162378544,25.0039365135433,-35.9377146566652,37.9676589623587
"CHE_98230",-573.579437267416,-95.708182618921,29.2522500402029,-46.253535817142,20.9635362178319,-21.4305249724353,-45.6290415030199,7.45136789804557,-32.0799446762321,23.0547747686713
"CHE_98250",-573.579437267416,-95.708182618921,29.2522500402028,-46.2535358171421,20.9635362178313,-21.4305249724364,-45.6290415030188,7.45136789804735,-32.0799446762367,23.0547747686632
"CHNY072301",-534.912594327064,-115.789667784267,43.0085235594269,-27.810729504779,34.4694523712368,-30.3355453065993,-53.5246162378578,25.003936513554,-35.9377146566615,37.9676589623709
"CHST042201",-573.579437267416,-95.708182618921,29.2522500402028,-46.2535358171421,20.9635362178314,-21.4305249724363,-45.6290415030188,7.45136789804412,-32.0799446762348,23.0547747686629
"CHTG062201",-612.862765382764,-75.9811624276438,16.4150733235952,-62.9720297611575,8.55916763025104,-2.78493439801,-36.5757761496318,-13.7308069905475,-31.2989943934124,12.9477241227431
"CHVD042201",-534.912594327064,-115.789667784267,43.0085235594269,-27.8107295047791,34.4694523712368,-30.3355453065979,-53.5246162378579,25.0039365135521,-35.9377146566594,37.9676589623646
"CHZR022201",-611.879379563465,-96.160994767783,10.6894531701204,-41.4581934179238,25.2773114514554,-28.2720080586159,-28.2841133142221,12.0295850622275,-12.9563941550147,-25.1746503575394
"CHZR042202",-611.879379563465,-96.160994767783,10.6894531701204,-41.4581934179238,25.2773114514554,-28.2720080586161,-28.2841133142215,12.0295850622246,-12.956394155016,-25.1746503575523
"CHZR042301",-611.879379563465,-96.160994767783,10.6894531701205,-41.4581934179238,25.2773114514554,-28.2720080586161,-28.2841133142214,12.0295850622243,-12.9563941550142,-25.1746503575458
"CHZR042302",-611.879379563465,-96.1609947677829,10.6894531701204,-41.4581934179238,25.2773114514554,-28.2720080586161,-28.2841133142214,12.0295850622247,-12.9563941550145,-25.174650357545
"CHZR052205",-611.879379563465,-96.160994767783,10.6894531701204,-41.4581934179238,25.2773114514555,-28.272008058616,-28.2841133142214,12.0295850622247,-12.9563941550148,-25.1746503575459
"CHZR062208",-611.879379563465,-96.1609947677829,10.6894531701204,-41.4581934179238,25.2773114514555,-28.272008058616,-28.2841133142215,12.0295850622248,-12.9563941550158,-25.1746503575499
"CZKA042201",-766.770699087359,-50.880135052357,-31.1674025104019,-98.2478997399919,-69.8907512299821,10.3996979128655,0.0313489613314295,-4.02428157367948,-3.30007182191425,25.4972096075349
"CZKA042204",-766.770699087359,-50.880135052357,-31.1674025104019,-98.247899739992,-69.8907512299821,10.3996979128654,0.0313489613313836,-4.02428157367949,-3.30007182191489,25.4972096075315
"CZKA042205",-766.770699087359,-50.8801350523571,-31.1674025104019,-98.247899739992,-69.8907512299821,10.3996979128654,0.0313489613314697,-4.02428157367942,-3.30007182191465,25.4972096075315
"CZKA052301",-766.770699087359,-50.8801350523571,-31.1674025104019,-98.247899739992,-69.8907512299821,10.3996979128655,0.0313489613314374,-4.02428157367935,-3.30007182191444,25.4972096075332
"CZKA052302",-766.770699087359,-50.8801350523571,-31.1674025104019,-98.2478997399919,-69.8907512299822,10.3996979128653,0.0313489613314042,-4.02428157367925,-3.30007182191464,25.4972096075327
"CZPR052201",-797.000324909985,-91.0406828425499,-61.2680564167404,-53.2141099167482,-28.9531586944992,6.7360027939973,22.054608900613,1.92851433594603,18.7282381554727,-12.8085609697278
"CZPR052202",-797.000324909985,-91.0406828425499,-61.2680564167404,-53.2141099167481,-28.9531586944993,6.73600279399734,22.0546089006133,1.9285143359459,18.7282381554728,-12.8085609697273
"CZPR052203",-797.000324909985,-91.0406828425499,-61.2680564167405,-53.2141099167481,-28.9531586944993,6.73600279399732,22.0546089006133,1.92851433594598,18.7282381554727,-12.8085609697273
"CZPR052204",-798.123478903579,-81.9058645093501,-58.5656171799586,-75.6024440412628,-59.6062835900652,3.86596229580304,17.5808632792553,-10.8777505181431,-7.49655286616319,31.0660226358252
"CZPR052205",-798.123478903579,-81.9058645093501,-58.5656171799586,-75.6024440412628,-59.6062835900651,3.86596229580319,17.5808632792552,-10.8777505181431,-7.49655286616307,31.066022635825
