Sample_ID,Accession,Continent,Country,Region,Strain,Latitude,Longitude,year_of_collection,Pot.Field,Host,avg_gw_coverage,num_het_pos,var_het_ratio,mating_type,Status_world,Status_ext_eur,Status_recent_ext_eur,excluded_reason,avrpm17_covg_ratio,AvrPm17_variant,avrpm17_cluster,pheno_amigo,pheno_pm3e2,fs_level_1,fs_level_2,fs_level_3,fs_level_4,fs_level_5,fs_level_6,fs_level_7,fs_level_8,fs_level_9,fs_level_10,anc1,anc2,anc3,anc4,anc5,anc6,anc7,anc8,anc9,wind_coord1,wind_coord2,wind_coord3,bio2,bio3,bio4,bio7,bio8,bio16,bio19,hurs_range,rsds_range,vpd_range,clt_mean,clt_range
94202,SRR7642213,Europe,Switzerland,Switzerland,tritici,47.52222222,8.82583333,1994,NA,NA,27.2,88352,2.232,1_1_3,Included,Included,Excluded,NA,2.142,B,NA,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.022307,1e-05,1e-05,1e-05,0.001259,0.889666,0.086717,1e-05,1e-05,-612.862765382765,-75.9811624276433,16.4150733235948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96224,SRR7642214,Europe,Switzerland,Switzerland,tritici,47.47444444,8.65583333,1996,NA,NA,38.63,23881,0.005946,1_2_1,Included,Included,Excluded,NA,1.894,B,NA,NA,NA,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.0997,1e-05,1e-05,1e-05,1e-05,0.90023,1e-05,1e-05,1e-05,-611.879379563458,-96.1609947677929,10.6894531701342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_3_10,SRR11548219,South America,Argentina,Argentina,tritici,-32.717881,-62.081483,2016,NA,NA,30.32,105430,2.371,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,0.999919,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_3_4,SRR11548218,South America,Argentina,Argentina,tritici,-32.717881,-62.081483,2016,NA,NA,31.81,107657,2.327,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_3_5,SRR11548202,South America,Argentina,Argentina,tritici,-32.717881,-62.081483,2016,NA,NA,31.1,109634,2.299,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_3_9,SRR11548191,South America,Argentina,Argentina,tritici,-32.717881,-62.081483,2016,NA,NA,34.5,109623,2.309,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_4_1,SRR11548180,South America,Argentina,Argentina,tritici,-32.717881,-62.081483,2016,NA,NA,29.03,112428,2.24,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_4_2,SRR11548169,South America,Argentina,Argentina,tritici,-32.717881,-62.081483,2016,NA,NA,35.04,111911,2.266,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_4_6,SRR11548158,South America,Argentina,Argentina,tritici,-32.717881,-62.081483,2016,NA,NA,33.58,108003,2.353,1_1_3,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG_4_8,SRR11548147,South America,Argentina,Argentina,tritici,-32.717881,-62.081483,2016,NA,NA,32.38,108408,2.332,1_2_1,Included,Excluded,Excluded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
